"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"18",14648.7249131737,-7190.06098283544,-21584.84354288,-38315.9494679412,-44511.8050039024,-47257.9684851983,-41618.3003934724,-38683.7074435819,-30959.5977926435
"19",15228.0901509216,-9044.56594638453,-26563.3495487608,-40822.3364395469,-50218.7175645672,-49236.1567021326,-47829.4792211946,-42480.8691648574,-37592.5803471189
"20",11216.8299847407,-18269.8128652697,-38598.3355508912,-49232.29333346,-57569.631458349,-59363.3795166725,-58196.3991103527,-53774.0561137413,-43023.2633508352
"21",4943.37528995471,-20343.5759010337,-40903.2048371508,-50798.3612037298,-57319.7981392814,-60225.8213926282,-57839.0235474319,-51691.0281130637,-42835.2297107785
"22",5727.75830653595,-17791.9413382151,-37739.559910959,-51240.555439576,-58062.6278121765,-59126.7057952902,-55956.6802696194,-51347.2637738437,-42758.6264220607
"23",12463.7972837414,-16607.3752932535,-34793.5260931241,-49285.4355433033,-55629.811127555,-53208.3877382036,-54784.4939102232,-49086.4299338386,-37651.9094741979
"24",8339.33789451423,-22039.9402507827,-37340.4039404737,-50617.7789183421,-56775.3863780709,-59548.3988705889,-57037.5575346414,-52008.5730121574,-44110.2192395354
"25",4033.16106495233,-21809.1687518327,-38417.3005683614,-51233.2346199765,-56436.8837005144,-56545.0062477255,-53993.5099310388,-48469.8823836594,-40022.863726096
"26",1074.33807174406,-21213.342874907,-40894.1989459679,-50188.2547321613,-57494.2479304614,-59314.5502704706,-58412.751075916,-52802.2753524786,-44787.3390243039
"27",34330.7605441091,8798.95729032818,-6227.56957324884,-25101.3684073132,-29913.4380596889,-38903.6301748348,-38605.7867412067,-34348.8506935429,-25985.8609953847
"28",14338.7474885074,-12134.1180263937,-30197.9125158226,-40341.5169867385,-47401.8117448957,-46330.2722420967,-43950.7316472446,-38662.6167883998,-29865.9183569362
"29",16557.7508242082,-17649.8168649335,-34267.4656128248,-44265.4178995069,-52953.8552969829,-55105.1586594657,-51226.0509641959,-45819.6233448283,-35126.4141822951
"30",6308.95791187516,-19029.600896946,-38522.4325649038,-49419.0428942435,-56679.718802631,-55278.3804897179,-55910.2820055631,-48744.6049458459,-38556.6830941981
"31",8532.95651144942,-20336.7839633314,-38617.884497598,-50286.3728907457,-52992.5308250425,-57372.1254258039,-54481.2517856136,-49721.6664282248,-40192.9527625951
"32",5406.84871593094,-22467.655571323,-39384.028154005,-53100.3558144234,-59029.7525970197,-61579.9728081526,-58180.1889512456,-52775.2494175272,-42595.2804580674
"33",11274.0278485511,-18689.4280401235,-33565.1919038436,-45196.3002120177,-50490.2274013765,-53261.053501819,-49761.3198232888,-41227.0640096066,-32891.3908605974
"34",12616.2480487167,-17477.0404434842,-31495.844253927,-42449.7215737512,-49015.3920637799,-53606.4935483951,-49014.9462365419,-45272.7204755746,-33153.217988456
"35",10447.5518202753,-19435.7198820696,-35970.8225187028,-50883.4924981268,-58476.4301004509,-59890.9581550997,-57591.0013422684,-51263.1098626384,-42548.4204945103
"36",11774.2117672756,-19742.9910347723,-37411.4823989375,-49143.9901405314,-58723.8137415787,-61550.3834425471,-60258.9136290451,-54525.2021431594,-45039.340966078
"37",6862.60812871579,-21063.0648412093,-36846.3232713483,-50204.8452950513,-57315.8777048217,-58696.2708746491,-56961.0741475954,-51050.3442016345,-41369.172723029
"38",8165.43786351068,-17572.8201330604,-37275.3640266487,-50293.2911739493,-56956.3224550964,-56063.9254542035,-54750.8930579868,-47179.0625143355,-39959.0326148248
"39",13234.4957480624,-15836.2845176494,-34816.3636297969,-46516.2891087553,-53582.7762511941,-54878.5356232471,-52160.2461033761,-45437.4382894317,-36083.8397393332
"40",9530.2057820537,-17523.8883087072,-33985.3870990108,-47719.2072404407,-54409.7038355166,-59084.6409013281,-56547.3746811804,-50082.9654135093,-42801.9551239896
"41",7536.13012502672,-22457.8068570449,-39387.9692606821,-52620.2278109933,-56698.5347926667,-61768.0824417539,-57823.6550621835,-55251.7874952957,-45921.4788523008
"42",8667.96790023641,-20917.5485024609,-37509.4450795462,-49672.0999191962,-56195.8670609116,-56100.7319784859,-55595.3955499956,-51581.1059883914,-39428.2440251717
"43",24390.6237583994,-3732.83953913094,-23039.4054863047,-37279.9957959538,-43512.0182657916,-47124.7177173739,-45800.7351537464,-40546.555345428,-31630.6384741648
"44",13158.797109016,-13564.9167824934,-33097.7197167025,-41458.9616956917,-52078.9550308873,-53743.0420683697,-50838.5696125369,-45748.0111432265,-35280.0878481103
"45",7791.01355232375,-18914.3388329267,-36505.9212767536,-49226.5286431904,-55059.5807593985,-56201.926276041,-55772.7933809951,-49555.1018216376,-40658.0103276615
"46",15210.6533748031,-11039.896696499,-35559.4230375356,-47501.8270991986,-53808.5013461431,-54262.8940028785,-53953.1338790598,-47888.1113232709,-39226.4969757472
"47",6318.96966128412,-22131.5172736467,-41854.1389430174,-57270.8767338692,-58321.6504467394,-61064.9620743981,-61227.8764958779,-54523.4992954738,-45963.5768467339
