"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"19",-65836.4628231931,-65509.6122670285,-67207.6283752873,-68020.6092523583,-66883.2873028205,-66558.3906509761,-68379.8127482081,-66619.4788165687,-67909.5909015072,-67928.7648158711,-68543.4876476749,-66943.5351050535,-68112.4631598522,-70921.8392270324,-70300.7843273788,-71741.5882249162,-70625.7296970363,-72679.291076032,-72158.3499500795,-72051.2510510501,-70978.3555515259
"20",-72210.4630475826,-72139.2528429515,-72709.650961733,-74035.3330583679,-77198.7143914006,-76585.5081970732,-76452.9947181153,-76658.1874998461,-75611.7644249041,-76734.5542936685,-77412.3215131967,-77294.7039869361,-78303.6386477382,-78270.412909259,-78168.3784415025,-79449.0088118299,-79978.9189911228,-80327.3940788754,-80430.593576041,-81019.076083166,-80524.2801080605
"21",-72784.5887747933,-73062.3202665898,-74157.3503054638,-74686.5649016463,-75688.9768084747,-77247.7150954227,-76451.0572078377,-77385.5659160317,-78157.0028106801,-78570.3806551671,-79312.0507694765,-78446.619733546,-78348.3886227411,-78665.0890272062,-79626.1600924692,-80016.7635998483,-79137.3471404123,-80310.1819881487,-80246.6302713246,-79893.6426017208,-79544.6852139865
"22",-73420.6482430126,-74728.059884546,-74446.0187067582,-75479.5971085455,-75914.889339623,-76054.0299346814,-76805.200313518,-77654.8515336136,-79145.9211241814,-79526.4548543261,-79107.7953753789,-78335.2678001638,-77911.0663749682,-76956.8071785681,-78226.6084520351,-77734.728727486,-77188.4749015407,-78919.2931905753,-79443.7425105738,-79293.065367523,-79189.610767415
"23",-70685.7033331897,-71201.6566192182,-71639.7494903766,-70450.7609595427,-70649.2429112702,-71215.7218410014,-70357.7628093534,-69799.5215526684,-68793.7753232357,-69208.3137593417,-70216.6924800703,-70111.3530671227,-72060.2147995752,-71674.8965043233,-71860.5290411814,-74114.313960445,-75304.9335187951,-75581.7248370533,-76396.9154375354,-76223.7371899782,-76295.4443733471
"24",-72302.9467760325,-74818.9001236877,-74528.7621808497,-75482.022985301,-76090.2353247407,-76313.6660140602,-76386.442365444,-76433.6562834511,-77088.6766443742,-77623.0666332706,-78172.1637835733,-77395.7845220665,-78359.2134313149,-79246.7422335581,-78809.0303939641,-78797.6391096946,-77163.2607723836,-76503.5794382561,-76466.7300544082,-76610.3490327569,-76932.1501583806
"25",-69405.4783416012,-70453.6109831072,-70505.9544547427,-70059.0996745074,-73196.8283222906,-73706.0319737089,-74288.8885922105,-74932.1443394552,-73799.9171499729,-74700.4254329821,-74525.9114724927,-74257.9950103495,-75932.0485435856,-78089.6318052856,-77221.3061583192,-76985.5996798782,-77526.4764579276,-76713.2267350153,-75631.1401064578,-75875.8720556401,-75290.8246607485
"26",-72575.435597097,-72958.4509779072,-74425.6734160038,-75698.7019970051,-75067.1641410663,-75224.6679836794,-77636.7885534449,-78583.2510133112,-77346.6179849461,-76582.0586569385,-77925.0802734389,-77340.3514542173,-78975.430502579,-78145.5354403979,-78594.4192039812,-78465.3247742354,-77683.6695875871,-77801.0738006631,-78277.5174886308,-78432.5794716669,-80194.0434386944
"27",-42417.3747920747,-43375.3431947902,-46829.3121130241,-46629.968655889,-47164.0343144252,-50246.1670154836,-52402.5231135014,-53875.7575204623,-56432.9328200801,-58266.4630361725,-57126.1582704433,-57932.9847273137,-55862.1123892547,-58173.9047430403,-57082.3362686791,-57307.3462908748,-56903.2675229323,-58619.5216534849,-60381.4380126567,-60054.1184412321,-59359.0797328891
"28",-60124.0886268446,-60426.0005853055,-60383.4227938658,-59382.1021895404,-58877.7452381447,-60381.5517130571,-61212.9465767034,-62255.995252673,-62624.7336458421,-62123.3551110972,-63871.1597131649,-65321.7442640155,-65637.9287839311,-65363.6814453862,-64620.5589977042,-66082.84305752,-67256.6065893698,-66704.8358585347,-65844.6940716751,-66463.2866301762,-64958.0113199203
