"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"22",18438.0314319758,12946.4322772651,9893.89454421301,13469.7272876329,18537.2214986066,26154.1008238749,37025.2773767691,50276.067560661,64698.9132804457
"23",17703.7065845129,12766.6694414586,11742.928858845,15417.845424434,18839.349723808,29126.8856620969,38747.2574114409,50815.4413533763,66110.8290622631
"24",20532.0147273969,10558.0864232898,10613.3660375459,15620.8910693894,18367.6815314811,27511.4254909793,40363.6152508255,51246.1985798159,64693.8367623902
"25",19384.5971676197,15188.5444502213,12644.237805706,14992.7721556906,20926.6472883559,28154.2851791964,38960.8931448551,50689.82816649,66266.74275298
"26",18630.8221867562,9452.06478345066,9553.66182840804,13502.2762222924,18814.0542628071,27524.6604009954,38476.9155117863,50025.0890855844,64444.2266705105
"27",23041.2477021568,16976.5142457736,16329.7543937585,16195.4451805349,21391.3051970568,27912.6623083551,39504.9148828824,52127.4933399636,67090.6603009723
"28",21770.395981087,14155.5873122388,14062.8457713756,16789.7224886864,21172.9650474938,28594.3029328954,39250.9282018891,52667.9057618926,67165.096603133
"29",19808.5235466228,12546.1304575539,11153.9783892441,14992.6427302443,18258.4927767891,28020.0795132134,38222.6615151024,50435.9318905227,65954.5064266896
"30",17363.7974696623,11157.7163272278,10671.6391665692,14750.3857343778,18501.339797097,27335.180841631,37140.7976913719,50133.5157891972,65503.0936448876
"31",16722.8020124796,12768.1649854795,14000.3611113898,15212.01943255,20152.6088327787,28456.1359148397,37134.6992666451,49955.5142688678,65270.8701939911
"32",17939.3724913381,11265.502913357,10509.603561502,13907.4150051511,18545.1702450051,26844.2523658526,35953.45592421,49808.7577975339,64925.9228501566
"33",19365.9307796044,12924.0016731067,11829.1729333405,13926.836980295,20302.233037789,28091.5414434869,39263.1400029786,52807.594557763,67462.9246490098
"34",21655.3312044057,14122.6994593762,13376.9431347243,15184.8545508199,20041.7719958678,28380.2150035105,39997.7920066665,52532.7551191357,66715.0877804215
"35",28910.7990017043,13553.123379993,13925.8203865861,16350.1515224513,20542.1943834601,28247.0240526918,39223.9193083909,51824.5441612438,67766.8927288033
"36",17496.7192585155,13581.8392891813,11623.4757257318,14328.4540544312,19293.4897348948,26236.8992267095,38553.5499144694,49891.6119247351,64874.6161974147
"37",14952.9534392826,10830.9224399043,10326.1751478678,13924.1776130687,18633.7343591437,27404.7918113141,37342.4298489238,49813.5966762285,64798.4255846512
"38",18293.3087273694,13311.1083209089,12918.3925147544,15708.2223297704,19800.289418544,28368.6025152753,39148.8780246578,52555.6447841346,67200.9106887818
"39",18061.313365914,13256.9440382955,17123.086033501,16124.0485403325,20405.5209249575,26643.249006081,36859.4024073227,50106.3356971023,66665.8647589422
"40",16276.3844761106,12292.2017601355,9726.26572768487,12378.2486788193,18171.5433689352,26454.8826243429,36331.451499569,50059.5050791919,65261.7530286177
"41",16080.1723446845,11727.9946918982,11286.017548871,15928.5273039516,18541.5161700153,26870.8278210474,37037.2507170846,49469.4908379501,64969.0806707018
"42",17005.5302035029,15565.2254812419,11574.1957852385,13112.1140162797,18208.6921977492,27372.6897367855,37142.5645073232,49594.1496408278,65235.4007737168
"43",22006.3884333492,13496.3051519117,13085.1824156619,16064.4307577189,21006.2493121123,29097.19205354,39286.679743727,53147.9999138649,67185.9219612607
"44",19192.8828979383,12186.1413619968,11724.0053624778,15070.5525501871,19530.1964957382,27397.8362420803,38948.654955104,50670.9147770301,66545.151041325
"45",21563.8089686018,15620.5124049546,12241.0646666655,15529.1915123647,20464.4014701764,29803.6507050758,38978.8355330344,51819.1712999874,67007.1277271786
"46",17303.3797762527,14062.3416958512,13978.2778755464,15761.6600255516,20280.3123552488,27490.2180363155,38536.8694270954,50936.8465030158,65462.2422351484
"47",16020.9095846862,10783.8130012006,11108.3405273767,13881.0237283079,19209.9557925104,26829.3714343018,38044.6010514204,50765.0616268468,66617.4509358561
"48",22404.4656611604,14510.5152253066,13996.6636548091,16847.9261174536,23662.3097037873,29460.5356411018,40165.7251923169,52939.0457663654,67440.4949002234
"49",18134.8698284988,10428.3023415162,10749.1254944828,14843.6734399021,17711.7763015714,26337.2545375802,36731.4954196593,49601.0034488734,65600.9918177814
"50",17731.2168035148,14752.0591376396,11430.3523339843,13371.2632820512,19981.6636166346,27561.0476112991,37577.0882624677,50928.7251899258,66746.396454961
"51",18652.0671685725,14550.2566672699,12978.1463407623,14054.2591347662,20168.5966784597,27036.6210269452,36775.4198746864,50474.3336822489,64793.7077600457
"52",23840.7920741201,13226.88694558,13392.6940498383,17415.0411866874,22598.1045511924,30690.5000458937,40295.3600672213,56119.4267804132,68082.2511670597
"53",18684.2976061791,9904.9419549614,10061.2117224773,12721.8027714005,18627.7132652373,26846.0042032665,37152.2984263852,50900.0988398434,65615.6098292198
