"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"342",-60021.7631786271,-60762.1996040948,-60674.6073101799,-61267.3330880718,-60350.4673126091,-59930.2981780383,-60374.7023020037,-60880.279557681,-61290.8743067838,-60508.9343025442,-60004.186825957,-60122.7009037118,-60428.2225535965,-59261.4139702198,-59364.8631283923,-59707.4240589007,-59974.4256452274,-59115.0640626741,-57679.7256346249,-57839.9509680471,-57691.0090761968
"343",-57702.3328337324,-58461.7929423333,-58623.610150681,-59371.0030798541,-60004.4382793446,-61148.0161279229,-61019.8445271455,-61418.4020011975,-59901.8316615644,-60222.5491028947,-60642.13381012,-59662.1178512702,-59937.9041461376,-58390.3461594779,-57065.3134034448,-56261.1826151898,-57263.4017050576,-58801.6139003052,-56693.6275970269,-55498.3900173806,-53887.0183205881
"344",-56328.5581983725,-57624.2356787297,-57393.787742567,-56955.699608027,-57501.9785017145,-56498.1889479637,-57048.8479465958,-57275.857259904,-57221.9230704357,-57430.5395738096,-58252.6789196204,-57849.8942422764,-57775.6945321924,-58562.6250618652,-58033.1976718979,-58550.6573355428,-57502.4244930291,-57871.3597004579,-56606.5828405327,-55923.153417481,-56340.5150166933
"345",-38494.3459055749,-39857.8834168057,-39711.6242885241,-39824.3045066057,-39574.3234585829,-38681.1981103441,-40083.6137088213,-38856.1929197523,-38274.3686944625,-37837.7119353605,-38402.3516344938,-38783.8045857836,-36989.5917036802,-36833.1782016202,-36726.8985800811,-37094.9549325984,-35914.2479601701,-36088.4801523867,-34482.5700552082,-33803.773472306,-31645.9601356244
"346",-53936.4033749433,-53481.7202375729,-53998.7329161969,-54638.5180496034,-54189.2167478642,-52662.0064102802,-55310.411505044,-54589.7409767968,-54539.0876449831,-54367.856490255,-53254.4379934924,-54441.8185957521,-53675.4156508297,-54920.2106473622,-53925.067098755,-53600.4621489985,-51392.7882629353,-51759.4214887812,-52245.4210795153,-51991.5445807823,-49895.9193996389
"347",-55561.8728290587,-55901.2280471586,-56519.3540890168,-56701.1481197957,-56846.0669323984,-56828.5790835602,-57172.8766938376,-57418.7081973369,-58476.5216315351,-57973.7998869364,-57960.2481597503,-59781.0997323734,-57815.5233234459,-57164.9955902371,-54526.0066151134,-55455.4079490553,-55956.2000930953,-56339.4066365302,-55223.1822881085,-56625.4769867099,-55508.458056655
"348",-56857.5361492485,-56111.4803065869,-56643.5295028816,-57639.1725746711,-56167.5695106797,-58239.5028005711,-58120.4809598751,-57199.1485810921,-56821.102658777,-57735.3587564911,-57722.8325530209,-56338.6878579728,-57251.5389005124,-57648.119628052,-58169.0199908417,-56944.0373850273,-56110.739729045,-56226.344072115,-55606.3072380174,-56071.9863830755,-55907.0916163521
"349",-56698.8974576693,-57814.6360197928,-58364.6095179298,-59260.9651221271,-59481.5276269474,-58452.8397646227,-58405.4554258286,-58869.4653282559,-59798.1000445468,-59568.8303852163,-59002.1994892953,-59331.1638217652,-58235.3373627521,-57295.7059666749,-55356.5534497214,-55433.6843242868,-56554.9166417932,-56231.4620804714,-54966.5404271244,-54259.531821205,-53175.8517564747
"350",-57483.9529374635,-57894.4021664542,-58915.3385262796,-59320.444207864,-59182.8340043408,-59102.5624362369,-59043.8735858172,-60031.8741742196,-59359.4794301161,-60100.5947425486,-58189.2348234612,-57921.5349968396,-57144.9582310071,-56794.4575553841,-59443.3843293359,-58822.5300982263,-59403.2021511768,-58692.1107212458,-58550.0082166854,-57099.85713587,-57349.0001268445
"351",-57287.5688169011,-57582.3350129227,-57235.8741346823,-57977.8586727814,-59111.256849325,-58709.3190118577,-58785.7775696029,-60632.2165839576,-60005.4271520524,-60026.2769831028,-60277.9139849346,-60062.2934993483,-60300.9632085091,-59618.4408724069,-60188.9768512541,-59239.9158670351,-58169.695258566,-57846.217678795,-57247.6208142399,-56957.7310684654,-56255.1633658108
"352",-47876.7475922601,-48828.7150038881,-49017.4354518182,-48730.5375978391,-49486.7732837774,-49510.3044684787,-48839.2856900136,-50294.8689974634,-48976.0437487665,-48760.1629499292,-48798.5729790765,-48766.3607805901,-47745.9515532299,-48549.4991953151,-49784.6665484782,-49546.3446658068,-48501.1884056032,-49150.5684953331,-48226.8171976542,-47777.8918961536,-48446.2635461591
"353",-48438.8785971771,-48838.2373530256,-48319.7713711564,-51737.8473186611,-50908.3674218021,-51195.0351567153,-50926.2060249232,-51476.2929059371,-52590.2063547746,-51100.4888019408,-52168.5831430486,-50646.3687790624,-49824.9936830425,-49901.3770694954,-50007.4172379003,-51567.3637632116,-50153.0833085901,-49354.9019981188,-49022.6226092178,-49243.4136849616,-47054.9543270252
"354",-44021.2834404954,-46067.5277573008,-46220.0247704241,-45652.8600026853,-45528.0113800995,-46355.8887203315,-47063.9696202805,-46328.546295224,-45409.5178792713,-46678.6603883272,-45097.3642948408,-45270.977416435,-43543.7910456011,-43413.6362334333,-42928.3028773503,-43774.1777242634,-43566.7155548371,-42815.253028327,-41942.4207744302,-40609.6706324164,-40148.4255324635
"355",-53640.8489043183,-53349.8344297158,-53386.5914564876,-53951.4870979448,-54670.650887283,-53152.1717970026,-53791.5175407955,-54307.0611850049,-54522.9524538187,-54922.6766888718,-52566.3938450215,-53606.5406805788,-52925.5089653976,-54177.5059150981,-51781.2229346529,-52107.6842973087,-51892.5241086279,-52274.2098686543,-51686.0134747483,-50772.9393150097,-50917.8160575526
"356",-55553.3140133793,-55920.4265917254,-55035.4685735972,-54694.9692705795,-55937.94573792,-57554.4662120177,-59038.9528130282,-59570.6327100659,-58620.1408551098,-58370.9568846284,-57029.9236770692,-58195.3736469968,-57707.1202964764,-59403.894253191,-59552.0029721808,-58032.1686144462,-57169.0256426224,-56717.0166318715,-56092.4605453429,-56148.2501525621,-55132.4949558092
"357",-55833.3010387241,-55249.3151349257,-57609.4180804469,-58977.7791690768,-60213.7835894048,-59967.3293031583,-60010.3904109524,-59734.9616332062,-58910.2727992963,-58835.8596760194,-59518.8118953446,-58333.0988068821,-58534.1072829595,-59132.0703981311,-59059.5697664734,-60107.9008048082,-59843.4027652583,-59113.6498332322,-57415.9232065562,-57189.3868977352,-56510.1722742573
