"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"30",11157.7163272278,10897.1910399187,11825.2158999842,10904.8147562074,11036.689774804,11491.2263384355,11187.3262999039,10982.0663871121,11303.2949243799,10932.1302940855,10671.6391665692,10885.8595960628,10538.0316004414,11015.6860486441,11582.3973160296,11808.593901307,12021.5039834552,13184.3461451909,14350.0222131893,15082.0160488169,14750.3857343778
"31",12768.1649854795,12838.4613646892,12035.9071332092,11817.9719941308,12122.3582187382,12258.41427677,12357.4663211065,12557.2969406198,13073.6814065191,13471.3545689394,14000.3611113898,14053.0874508825,13530.4596868494,14017.1263799373,13872.0094823497,13364.1716494548,13441.3264007806,14056.4195178333,14918.8526980958,15410.3341258941,15212.01943255
"32",11265.502913357,11000.8769288859,11020.7824973717,10629.6015935689,10255.8727267958,10201.9926441011,10168.7378467908,9613.34124350518,9595.26548984322,10201.0370418464,10509.603561502,11098.9511862264,10861.2402700432,11100.8720964095,11407.6790362591,11583.8197004839,11486.6685308861,11935.1050370377,12874.664841212,13440.8981415204,13907.4150051511
"33",12924.0016731067,13314.7463729562,12311.6871929284,13161.1977026928,14115.8283549005,14464.4786255219,13541.481540256,12732.7960747375,12494.1006081451,11964.83736948,11829.1729333405,12395.6558691921,13061.2205783608,13414.6964632659,12513.7001093834,13219.1338211745,13548.4605884153,13445.8325102211,13847.2226797972,14183.7340060276,13926.836980295
"34",14122.6994593762,13848.1849599183,13915.0383240281,13806.7012882979,14738.2090682102,14033.0916606052,13947.3484728871,14004.2838233238,13188.3286399351,13324.0514432137,13376.9431347243,13000.2069451046,13321.6193686132,13270.7191191557,13098.0430227355,13811.4013398779,13660.0577369523,13656.2166487153,14190.2059743581,14765.7427749743,15184.8545508199
"35",13553.123379993,13992.8216434888,13701.2548280274,13164.2013712834,13957.9335737626,13796.096955272,13684.4962509114,14620.0023439361,14303.9345247534,14673.4710492073,13925.8203865861,13575.6272319695,13516.3195995526,13048.8121703362,13649.4990468852,13921.114296998,14584.2665487393,14479.0788508102,15536.1756122106,16113.2057316657,16350.1515224513
"36",13581.8392891813,13775.3636236847,13494.3200825868,13728.2451687761,14381.3033290899,13323.7197345247,13385.4018047873,13170.741511655,11918.7521644951,11486.8786490791,11623.4757257318,12131.9479661795,12619.4378840744,12577.108897946,12477.0538049252,13006.6955528802,14126.0546412457,14016.0974742457,13236.1787800941,13721.9557723618,14328.4540544312
"37",10830.9224399043,10759.1251671309,10353.7806617719,10784.4108226018,10190.2161262342,10031.3174824691,10245.7411001124,10615.4964470633,10142.8007737483,9871.79010644935,10326.1751478678,10175.4560408158,10447.0796079591,10293.3689923384,10409.4651521149,11750.7278198591,12432.7229828139,12959.9982938149,13097.8570394303,13941.7240621115,13924.1776130687
"38",13311.1083209089,11851.0571245185,11741.1620051662,11720.9282276503,11909.7771836569,12272.2612793576,12763.4168210174,13534.5014162427,13790.8687906134,13325.5563402758,12918.3925147544,12872.537558748,13112.8701256894,13765.5186525503,14213.393760428,15246.9083944798,15867.1984249376,15985.2847796684,16502.5085881903,16254.5879014006,15708.2223297704
"39",13256.9440382955,13166.8137651243,12802.4099530299,13034.231306543,13042.7175953676,13196.5560512314,14678.3920580057,16479.3379587983,16953.212497261,17725.7627651708,17123.086033501,16842.9004852506,15867.2265971986,14407.3890341581,15756.6460627297,15936.4829247857,15637.5857208793,15381.4919308527,15827.757122749,16292.2982044943,16124.0485403325
"40",12292.2017601355,10728.1648438599,10135.835680538,9430.62257116331,9624.04022067247,10358.8682407348,11861.8492053304,11532.8316165602,9905.67261214213,10495.5015032613,9726.26572768487,9217.65101383972,8967.93468486908,9216.238357486,9328.80631512032,9794.61754279914,10738.9294222214,10913.0244096102,11541.2980767688,11710.8341177178,12378.2486788193
"41",11727.9946918982,11711.5800161682,11528.5865109239,12701.8112789702,13832.0567384731,13544.9396609056,14947.1961159986,14285.6617075416,12604.9673042011,11555.2610630262,11286.017548871,11417.3917719317,11626.5141282736,11752.9809763758,12435.4517806215,12117.843605829,12654.9210711088,13248.0767223387,12978.4272913048,14181.3568061867,15928.5273039516
"42",15565.2254812419,15244.3619634633,12680.8187750392,13130.1216463428,12809.1360174153,11686.7056264183,11573.1070935658,12316.148656493,11425.0340978832,11677.8265012512,11574.1957852385,11712.440697241,11658.7724324426,11609.6774229518,11534.6910767011,11663.2291508128,12174.5792933705,12816.0943508632,12508.9124455857,12314.039114965,13112.1140162797
"43",13496.3051519117,12817.2094662547,12573.5477790737,12656.3807568872,11650.5681417627,11547.6653732107,12001.4720210808,12922.5477065457,13316.4725944205,12964.4661075475,13085.1824156619,12440.5260971152,12407.5651745237,12686.3000767387,13210.4565114508,13200.9701623623,14526.8279010379,15057.7185888585,15814.2392284951,16304.7000493443,16064.4307577189
"44",12186.1413619968,12546.9391727133,12309.7637902831,12125.6968260187,11716.2976123897,12119.1071687794,12683.1082853485,11672.6615900029,11045.3310517219,11268.4097140941,11724.0053624778,12143.2477222513,11868.5277494705,11986.7671082904,12516.2764226158,13525.7270765206,14103.6278200362,13661.430462284,14014.6002002432,15034.9898684231,15070.5525501871
"45",15620.5124049546,15099.1102624029,15877.0575506535,17420.3898038542,18172.1858480393,14951.5158126462,14459.8168276365,13401.9937621593,12799.914043196,11900.128520753,12241.0646666655,13039.1932563066,12143.1496356251,12244.408351607,12968.2399001498,13362.4160530437,13596.7518097536,14023.7064233284,14810.6087854277,15058.6281925469,15529.1915123647
"46",14062.3416958512,12071.6347917881,11882.4289747659,11487.6258587018,11655.8960891411,10562.6662251615,10688.9802954184,11298.6203306746,10905.196735458,11936.3111372748,13978.2778755464,15370.1521765176,14408.5919822281,15799.8939566862,14718.2659764045,13651.8193343593,14406.4272124019,14295.7966034315,14877.5376366037,14661.4704645973,15761.6600255516
"47",10783.8130012006,10550.3246017179,10256.1206527944,10244.7553358471,10358.5915373907,10353.0525158728,11086.5862418586,10266.4788158998,9963.37410414119,10078.5514887052,11108.3405273767,11434.2968928618,11256.5186746654,11341.7825241981,12290.0451011484,12052.3038796705,12149.7949028877,12316.1198957586,12558.1282709238,12997.3431707694,13881.0237283079
"48",14510.5152253066,14807.1085568968,14740.2021150984,14258.7419536982,13740.0261744118,13724.9316388375,14184.2495486281,13997.5193316954,13713.9836470152,13747.4432283429,13996.6636548091,13625.8529129271,13869.5055094404,14687.1904378833,14883.9192894131,14585.095386334,14583.1855951809,15356.4024235748,15336.0548416486,16027.7554638028,16847.9261174536
"49",10428.3023415162,10950.669947103,11275.7266993426,11400.0104121024,10538.145794136,10518.2734296012,9844.66435188311,10327.2172181189,10499.0032907608,10019.4309637664,10749.1254944828,10528.4497432955,10174.6142563732,10169.0850549305,10711.9349303723,11241.1783268556,11209.540622022,12298.8330451281,13463.9965075235,13916.4614365727,14843.6734399021
"50",14752.0591376396,13749.5019928335,12571.1737657294,12717.5690683243,12724.5069544444,12652.7940490597,11460.4871137642,11554.0322212834,11026.669909703,11597.0962218909,11430.3523339843,11222.3754950687,11103.3955229181,11271.5979265814,11453.2992372001,11669.8877017803,12249.3642461754,12917.0386656558,12958.3554517911,13343.3580945405,13371.2632820512
