"","V1","V2","V3","V4"
"3844",0.1,0.322788625403898,0.5,0.429448199527089
"3845",0.1,0.5,0.5,0.519236563897487
"3846",0.1,-0.227878780692414,0.5,0.444138475501416
"3847",0.1,0.134765764594015,0.5,0.444494172697864
"3848",0,0,0,0
"3849",0,0,0,0
"3850",0,0,0,0
"3851",0,0,0,0
"3852",0,0,0,0
"3853",0,0,0,0
"3854",0,0,0,0
"3855",0,0,0,0
"3856",0,0,0,0
"3857",0,0,0,0
"3858",0,0,0,0
"3859",0,0,0,0
"3860",0,0,0,0
"3861",0.1,0.471100999260372,0.5,0.366915012057459
"3862",0,0,0,0
"3863",0,0,0,0
"3864",0.1,0.298669009070229,0.5,0.399507963659547
"3865",0,0,0,0
"3866",0,0,0,0
"3867",0,0,0,0
"3868",0,0,0,0
"3869",0,0,0,0
"3870",0.1,-0.0862690464983872,0.5,0.49173851911085
"3871",0.1,-0.0104207737730984,0.5,0.389442903813585
"3872",0.1,0.283541841339012,0.5,0.458048057192236
"3873",0.1,0.356424478023045,0.5,0.407535107537861
"3874",0,0,0,0
"3875",0.1,0.283061638697281,0.5,0.438287130150475
"3876",0,0,0,0
"3877",0.1,0.321102568850741,0.5,0.445715428323027
"3878",0,0,0,0
"3879",0,0,0,0
"3880",0,0,0,0
"3881",0,0,0,0
"3882",0,0,0,0
"3883",0.1,0.0522356435561196,0.5,0.360717827909949
"3884",0.1,-0.25514783211156,0.5,0.347157951546214
"3885",0,0,0,0
"3886",0,0,0,0
"3887",0,0,0,0
"3888",0,0,0,0
"3889",0,0,0,0
"3890",0.1,-0.162934558563118,0.5,0.394708761527164
"3891",0,0,0,0
"3892",0.1,0.01,0.5,0.330962294547041
"3893",0.1,0.192751196572709,0.5,0.308051323967253
"3894",0,0,0,0
"3895",0.1,0.389056500360596,0.015208192745684,0.380199858958776
"3896",0,0,0,0
"3897",0,0,0,0
"3898",0.1,-0.30454345838526,0.5,0.386619909050437
"3899",0,0,0,0
"3900",0.1,-0.127097031885692,0.5,0.369586618052072
"3901",0.1,0.300263846905948,0.5,0.368666579272675
"3902",0.1,-0.244697874058235,0.5,0.419792674163024
"3903",0.1,0.01,0.5,0.420250297460064
"3904",0.1,0.232320487391325,0.5,0.329247146966239
"3905",0.1,0.101624335379132,0.5,0.37173886185039
"3906",0.1,0.01,0.5,0.389020983710997
"3907",0.011355142437256,-0.0193374731787218,0.0117515389357855,0
"3908",0.1,-0.175655941099302,0.5,0.382212281365214
"3909",0.1,-0.01,0.5,0.338342740946374
"3910",0.1,-0.210210390687095,0.5,0.33198759905055
"3911",0.1,0.054840122778394,0.5,0.3465933436968
"3912",0.1,-0.0998624805120478,0.5,0.307384637234424
"3913",0.1,-0.139541701593136,0.5,0.303224863064512
"3914",0.1,-0.408743795983089,0.5,0.359407705005652
"3915",0,0,0,0
"3916",0,0,0,0
"3917",0,0,0,0
"3918",0.1,-0.112053138323366,0.5,0.303033400170366
"3919",0.1,-0.30285373164972,0.5,0.318958783618058
"3920",0,0,0,0
"3921",0.1,-0.211859666132219,0.5,0.328952152697635
"3922",0.1,0.0259557556877979,0.5,0.310360962693691
"3923",0.1,-0.152948384498461,0.5,0.296174497177224
"3924",0,0,0,0
"3925",0,0,0,0
"3926",0,0,0,0
"3927",0,0,0,0
"3928",0,0,0,0
"3929",0,0,0,0
"3930",0.1,0.186698877477508,0.5,0.340578422077024
"3931",0,0,0,0
"3932",0.1,-0.19154605678413,0.5,0.366640130560756
"3933",0,0,0,0
"3934",0,0,0,0
"3935",0.1,-0.0100170819248426,0.5,0.381234077670125
"3936",0,0,0,0
"3937",0.1,0.113732464726951,0.5,0.39930627981183
"3938",0,0,0,0
"3939",0,0,0,0
"3940",0,0,0,0
"3941",0.1,0.260615866009528,0.5,0.390237840274629
"3942",0,0,0,0
"3943",0.1,0.136699968504525,0.5,0.41397664207861
"3944",0,0,0,0
"3945",0.1,0.01,0.5,0.402113801171938
"3946",0,0,0,0
"3947",0,0,0,0
"3948",0.1,-0.5,0.5,0.462024872673602
"3949",0.1,0.248882548191697,0.5,0.34493655342051
"3950",0,0,0,0
"3951",0.1,-0.203172141232359,0.5,0.412607167350226
"3952",0,0,0,0
"3953",0,0,0,0
"3954",0.1,0.175056440948956,0.5,0.432390003798732
"3955",0,0,0,0
"3956",0.1,-0.316984212096629,0.5,0.343562372329492
