"","V1","V2","V3","V4","V5","V6","V7","V8"
"66",24922.6204596301,19166.2263756953,18632.7067845371,22035.5597006493,26771.4989396473,35725.5218130307,45012.945454293,57468.7236213985
"67",27416.8002672798,23848.9012983981,17863.7005343272,20932.2787967729,29917.3963245884,34527.9136163201,45719.0258828529,59047.0648011301
"68",22176.3623898084,22414.7534642843,22432.5109810489,18948.8888511243,24670.9578634668,34209.611911836,44624.5374199039,55842.4312408906
"69",19723.7070178536,16898.4778874683,16484.3133636369,17017.2696784584,23032.985719064,32449.1407846151,40623.1682782427,52760.0876234278
"70",22686.6394036461,13428.7551994965,17790.4422029153,17091.0054263685,22222.2572386273,29709.5056844162,41588.8510958139,52654.3430503551
"71",24033.5834965209,16565.1113467816,16134.9182262817,19349.8727471194,24165.1424972667,32012.3227816023,42341.821091258,54231.6290942815
"72",27057.1660110077,20692.3422335967,19894.6772635842,22312.880167707,26852.5952855467,34176.7715361896,44637.3244045175,56671.4700063043
"73",26460.2141180547,22394.9382728654,20421.1764089034,24216.6668316455,28949.2798629689,36780.5192808693,47463.2961687628,60200.5036594612
"74",28898.6739133484,26532.2365047976,26208.3153554053,30334.8286996927,34735.5896296339,41093.4473551244,53602.6265370034,63467.8638663472
"75",28676.923955336,24703.979415001,22803.472959629,26273.5066368643,32283.5287204645,38639.9323674163,49048.9368881545,60221.3949899913
"76",23572.8524781019,22585.1104921991,19975.2370222209,27293.8995326242,27248.715384234,36370.6717675528,47427.1441193861,59814.7005365901
"77",22218.891573945,18373.2798478186,18368.6583653972,19771.4123240495,25525.0509978711,32793.9100156114,44136.0792684146,56332.7213249972
"78",24029.7953652346,16810.5032043094,17515.4537343077,23692.1348380328,26321.576057982,34460.9856892418,45104.6924626459,57956.2333395548
"79",23413.7457894239,15964.3577743761,16763.1999906283,19570.1381152474,28108.0961399162,35278.2444442743,44646.4133353435,57583.8376982386
"80",24284.6738265431,21972.6796655923,16425.8280419757,20141.0975852169,28033.3335366883,36058.3075934733,44016.7191807493,57256.4444990341
"81",22061.0131169239,18134.272835922,20804.3225380865,21737.705090758,24949.1640284357,36347.4620632074,43396.2437511979,57287.6124844931
"82",17874.8366597858,15151.9311952923,13539.8299361756,16832.4811542265,22061.3341476809,31526.5884380066,40056.8821454562,52973.4337701085
"83",23809.077707925,19567.9587206517,17504.7562259886,18670.977216298,24213.5140026556,32167.6291867658,42780.8409950844,55264.994800524
"84",24798.4130482026,18720.2355535351,17385.9624924831,19245.70912766,23992.4355078064,32136.463720993,42631.7035647123,55189.8920446387
"85",30407.2129641686,23025.1754744576,22728.4353144829,24215.9263004838,29264.6150699926,36814.0704842402,46900.8220962403,59602.0023446194
"86",36932.7422982589,28624.9712050115,25461.1492865893,28584.6374904271,34162.1811667109,42462.2410311471,52500.243825491,63991.3675127734
"87",27879.8010409704,22235.798199316,21832.1312979572,24678.0062247876,28112.8122424756,37259.3387883071,47854.5962383146,62560.1080593465
"88",29934.3762345932,23329.1242399509,25583.2030652414,27776.5500178302,31688.2575751826,39715.7923303143,50844.7853270061,63809.906576983
"89",25735.3636977089,22194.4679314081,20577.5378388971,24297.7241676261,30888.2057128998,37550.6078438277,49873.9434190264,61973.2303537549
"90",30935.827482888,18206.4428510007,20794.7957481286,24039.8997619421,29478.0094798577,36632.4613517717,46721.3083137325,60841.2675549181
"91",23107.0653606488,15554.0359649915,16179.9119439199,21295.4544198303,26467.7963319965,32575.2119772173,43202.3772104504,56027.7904269994
"92",25922.6099261572,21182.9748738353,26574.0455719352,27441.1570514089,30306.1136750975,37734.8039950241,49895.5979115878,63609.4116589028
"93",24553.6966793997,19009.8344735152,17516.040281012,22328.9098360506,24420.2186858493,34451.4321115478,45303.4226427051,57086.3196507606
"94",23109.1932806581,17249.1061734823,18193.1755500577,22541.8340987729,25824.7182399097,32178.800523955,44188.5425471338,57189.8011034306
"95",26832.0463069551,18994.4686828956,19117.5899641242,21855.8931763288,26623.9351377426,34141.0318685284,43912.1602792371,56309.1908844107
"96",34905.790441649,21286.9948192678,20110.6700293858,23384.1186191954,27858.318689068,35159.9374984354,45098.7582987411,57639.4644454003
"97",33748.564669352,25877.3957150395,22305.1151792613,24940.0340062322,28111.0707200684,36343.6504230734,48662.8137950374,60010.7690372271
"98",45121.3123906363,28251.3791340781,24482.4228657532,28804.4478353216,32748.6380459796,41779.7723861907,50680.4739433115,62371.2010507208
