"","V1","V2","V3","V4","V5"
"2608",-59371.0950121676,-59343.9654056532,-59317.3531829444,-59268.8281749676,-59215.2385057572
"2609",-58486.1891893422,-58510.0546638218,-58470.3154678437,-58425.8980270865,-58365.206220667
"2610",-58634.3559267394,-58621.1043358355,-58573.7932118682,-58522.204738366,-58459.5630670504
"2611",-58477.4049151539,-58440.3193992497,-58388.5557084854,-58330.7770599045,-58275.5925782442
"2612",-58890.4437218562,-58835.3984388605,-58768.4019059861,-58708.4327231743,-58641.9165408805
"2613",-58655.1965216101,-58603.7867755785,-58547.1235260231,-58491.1768006127,-58438.6317583772
"2614",-58452.4930893703,-58414.998216633,-58353.3673961904,-58291.2982865505,-58258.2595189789
"2615",-59308.8644134499,-59256.1838955911,-59198.000158544,-59141.0170173808,-59093.9657794883
"2616",-58889.8439461817,-58840.2345018521,-58832.4203786756,-58775.096411716,-58724.9055901496
"2617",-58683.6768696559,-58643.6727893708,-58607.0803249041,-58541.956879717,-58512.0225674314
"2618",-58318.2302261239,-58281.8388497611,-58250.4201291001,-58186.499264084,-58128.2816035072
"2619",-58785.4940075736,-58754.5117117961,-58735.1034367761,-58671.8773422091,-58608.9866855178
"2620",-58203.4844276511,-58166.4909370561,-58129.5811234986,-58072.0350404154,-58009.0338103711
"2621",-59195.3984859087,-59136.773150521,-59084.2054267547,-59024.9526403651,-58975.0542841206
"2622",-59228.8167825059,-59168.6620598208,-59110.8876418495,-59055.2747054252,-59010.7849371203
"2623",-58837.9630758411,-58773.171569217,-58727.9975339103,-58668.9430616208,-58620.5911858645
"2624",-58216.4729807176,-58177.754195447,-58207.0092350986,-58172.1167598188,-58116.313989558
"2625",-57288.6828509788,-57246.3306150437,-57203.5890677167,-57184.8893192307,-57141.0206892023
"2626",-58340.8376223685,-58309.0777870863,-58274.0449426023,-58216.4944838094,-58156.9851769737
"2627",-57495.1176411784,-57455.8599813514,-57405.4635798544,-57343.3438733919,-57285.0200620979
"2628",-57069.3906918864,-57031.0987464922,-57090.8237967848,-57046.5335316581,-56989.7677715571
"2629",-58270.1891828611,-58258.5035160123,-58248.2967068229,-58199.4914759076,-58142.4722798489
"2630",-57391.5590443653,-57342.7725935445,-57280.2670945767,-57246.6170902536,-57194.087813394
"2631",-56987.9338826287,-56943.770201122,-56906.2746475541,-56863.2933989872,-56804.4144529524
"2632",-58107.7386244316,-58089.8857396679,-58039.074123593,-57981.757876742,-57921.7241884998
"2633",-57414.6410078896,-57366.4232293888,-57317.4289221611,-57259.9460851446,-57211.6248780572
"2634",-56455.8213869409,-56418.6288887735,-56370.1750321345,-56309.0500100311,-56252.3984442013
"2635",-57447.4098662238,-57392.0496036664,-57342.3504397643,-57287.128579375,-57245.9193918673
"2636",-56356.9870961055,-56303.42935531,-56294.0931104569,-56234.1521385508,-56186.5302469486
"2637",-57101.8674626701,-57056.1375199121,-57063.6314360977,-57004.3673455883,-56953.6446777791
"2638",-55871.286168357,-55818.208072654,-55857.4563909665,-55806.2944677544,-55758.8754254428
"2639",-56370.9416557385,-56333.4442399665,-56281.528276921,-56222.0075694635,-56165.1763577359
"2640",-55963.4265880173,-55914.0302053349,-55882.8329446058,-55818.569918696,-55766.8920839181
"2641",-55212.2422497794,-55175.8861162646,-55197.7257914329,-55233.1531132433,-55175.8497271839
"2642",-54622.7933303093,-54568.2485025562,-54567.6507245771,-54564.8079585707,-54513.4032470882
"2643",-55554.3046168712,-55496.1368051735,-55439.7160635846,-55377.8705144392,-55317.3756508104
"2644",-55652.2820159001,-55625.73968115,-55588.5780539054,-55542.8881340724,-55498.3218840927
"2645",-54859.4436834728,-54810.1412825952,-54872.8798467535,-54818.3445950488,-54766.8459555598
"2646",-54034.9987977999,-54002.1564973897,-53945.854160071,-53901.9269757656,-53845.8323420567
"2647",-54478.9544528174,-54438.0222942427,-54389.4441817503,-54355.7028290591,-54297.9360448655
"2648",-53354.1479249376,-53298.1287161321,-53245.5202594256,-53217.6599272931,-53169.316805181
"2649",-53107.9686598375,-53106.5680981626,-53054.260204921,-53005.8673389903,-52961.7285871469
"2650",-52822.9768930124,-52783.9860229075,-52729.1292078113,-52751.4226711139,-52704.5443117575
"2651",-53629.0988663604,-53599.7607160487,-53548.8081040941,-53488.0237529276,-53438.4338535122
"2652",-53221.8114555562,-53164.3346777215,-53155.649734434,-53113.1698710635,-53062.3279656392
"2653",-47425.8315736752,-47451.0433592906,-47406.1456711892,-47356.7213934776,-47319.6043652614
"2654",-52215.0722502636,-52156.9495280579,-52127.2951181625,-52226.841346145,-52192.2841867364
"2655",-52164.8939427328,-52177.2166956532,-52127.7653104978,-52089.3779783657,-52047.397265445
"2656",-53556.9978008686,-53517.5659757628,-53471.6595618736,-53507.9259843066,-53456.1530578819
"2657",-53920.3822198926,-53879.8186061636,-53822.2489093835,-53773.355684927,-53719.2473611608
"2658",-53731.0456537415,-53681.1771719414,-53628.6481059303,-53576.2112618001,-53526.5637932522
"2659",-53536.67063715,-53505.9778266266,-53462.5184786553,-53418.1691945993,-53379.0585025404
"2660",-54469.7660036611,-54429.6897683512,-54372.4590040795,-54317.9333239303,-54263.0880704879
"2661",-54602.2275944498,-54552.6897058553,-54504.9609473963,-54451.4316035685,-54432.5058811397
"2662",-55319.932577075,-55279.9909562324,-55236.3880256273,-55183.0422775165,-55125.7090893999
"2663",-55192.6996796475,-55146.1837689937,-55147.638987818,-55092.9872277543,-55044.8314864261
"2664",-55668.200485815,-55613.226926206,-55573.6590238252,-55541.7399881385,-55485.9465981068
"2665",-55746.2943466206,-55691.0193095456,-55652.6774384657,-55604.7455861174,-55576.3835493625
"2666",-56133.9967027424,-56096.6322142454,-56064.697705574,-56034.5056218786,-55993.4142629846
"2667",-56074.1103798446,-56047.1975852474,-56008.1450716382,-55953.6595313745,-55887.8615735394
"2668",-55588.6500696882,-55554.7929431267,-55511.8927476908,-55475.1172518277,-55421.3194584737
"2669",-57060.4067407667,-57009.1069946006,-56951.855236094,-56897.9737595569,-56855.9393397923
"2670",-57050.5699200053,-57002.9210487992,-56957.2629148561,-56896.7230592238,-56836.5559771082
"2671",-55555.6327839154,-55498.5882839001,-55452.2203929673,-55449.406665787,-55424.3341501225
"2672",-56613.2189624506,-56562.1271284595,-56506.4439898108,-56441.5705811079,-56394.2312356139
"2673",-56906.7621852213,-56863.4754069109,-56840.4188988354,-56800.3112391557,-56755.7816800073
"2674",-57908.6308500798,-57867.289130646,-57824.2437674647,-57774.3378946255,-57716.18413393
"2675",-57709.6263115869,-57651.6767922515,-57606.9368674338,-57549.6209658876,-57499.6617933976
"2676",-58450.5135702513,-58421.5434611008,-58375.005216925,-58311.5622361677,-58249.7649286923
"2677",-57807.1020478605,-57761.9230156898,-57716.6512846342,-57687.5434878272,-57644.7739663546
"2678",-57748.9469504442,-57733.0525626164,-57691.8690786507,-57644.0077053119,-57594.5477466665
"2679",-58274.3874260561,-58227.8977193621,-58174.4744263364,-58120.7083083262,-58092.1317712708
"2680",-57444.4650264382,-57427.9077665412,-57440.7540250804,-57419.3553162693,-57360.8446198308
"2681",-58439.7200569742,-58387.9607532194,-58336.0520412824,-58287.6335195468,-58225.4725601458
"2682",-58605.8621780078,-58572.9609106891,-58509.7743322138,-58454.6514903624,-58397.749651224
"2683",-57485.45823101,-57432.7381694522,-57394.1715215067,-57359.7813001791,-57301.7733141644
"2684",-58403.5645842639,-58365.0499842753,-58408.8933293006,-58376.1509524166,-58312.9197454855
"2685",-59130.7069641213,-59077.4740551391,-59025.4853677079,-58962.0166983256,-58908.2421977607
"2686",-59534.699011672,-59488.8439649942,-59455.4543378855,-59399.2642317602,-59338.4776865315
"2687",-58636.0337435686,-58576.1689859786,-58509.1196238271,-58453.9402384751,-58403.0044289095
"2688",-59196.5295381569,-59158.3280457959,-59098.7968496078,-59043.914693904,-58995.8016804712
"2689",-59022.0935634589,-58974.4177377843,-58920.9449953264,-58858.3833196888,-58800.8299665747
"2690",-57922.3487810843,-57862.6516328525,-57808.3165462709,-57750.1010411283,-57689.7542859864
"2691",-58211.3332484104,-58156.5288140151,-58090.3952507254,-58023.3278960897,-57978.3531452313
"2692",-58280.7288282024,-58222.6910116695,-58161.0731281334,-58101.8321544734,-58056.4869271786
"2693",-58201.3198368249,-58152.8891131613,-58100.4434268643,-58037.9673298072,-57971.3663270439
"2694",-58699.9384945146,-58652.9690541254,-58627.6864377265,-58560.5944346,-58507.0393003932
"2695",-59232.6430375749,-59176.2708751988,-59115.4426485815,-59047.4765825393,-58998.1175442869
"2696",-59107.7533555718,-59053.8282531913,-58995.3099945573,-58946.2932891685,-58886.284872997
"2697",-58904.0088238414,-58985.1514470536,-59018.7285861026,-58964.673096789,-58918.602507067
"2698",-58506.9592974754,-58520.2895631957,-58505.1021087909,-58458.8322497962,-58397.9084784232
"2699",-58932.6807871919,-58962.8224302629,-58941.6933793183,-58876.3379633985,-58836.2091795985
"2700",-59020.0505100146,-58967.5297554669,-58950.0755724891,-58928.3090594852,-58865.9229182537
"2701",-57815.3442402704,-57866.1117319018,-57817.4426235974,-57755.3167551508,-57707.6841591529
"2702",-58637.7079087389,-58630.1580249136,-58586.0758019115,-58530.9576013192,-58493.1916689231
"2703",-59330.0009211663,-59314.9008706172,-59314.5989458386,-59252.0618013928,-59199.0839333514
"2704",-59354.3851723986,-59320.074152566,-59278.8548472327,-59223.6132934933,-59171.7752950815
"2705",-59407.871509193,-59394.2545360748,-59331.2541960393,-59280.7882763292,-59220.9135816087
"2706",-61525.5418763297,-61542.4863540014,-61518.8152486214,-61471.0107495172,-61432.5820045194
"2707",-60431.5176236995,-60403.4808793766,-60375.1010886493,-60309.808032386,-60251.0170222691
"2708",-59499.7212704002,-59469.0332005464,-59421.6930297164,-59364.5819117734,-59317.3525266745
"2709",-60731.8496919592,-60690.0894681266,-60621.9231764403,-60556.1517889597,-60496.9309061131
"2710",-58832.1407589658,-58788.2175565108,-58739.5119416006,-58677.5402483667,-58627.53636672
"2711",-59044.2221992502,-59048.2729593792,-59014.4524906077,-58951.4568816707,-58883.6255821186
"2712",-59194.2446959929,-59229.8342012646,-59211.0081186957,-59162.6509245366,-59109.5127246321
"2713",-59445.1291776434,-59401.1676592389,-59343.2778519497,-59303.8890375464,-59253.8165857777
"2714",-59153.2111675489,-59135.8823534733,-59090.0603603233,-59027.4444743766,-58978.9330547155
"2715",-59223.1302941269,-59188.778333667,-59123.4482300821,-59066.004403745,-59017.7507002861
"2716",-58878.0832521816,-58830.8849818951,-58771.2402455003,-58706.4161782915,-58684.5713731249
"2717",-58770.0908772231,-58715.0427934181,-58656.4086710427,-58598.4325595653,-58562.6236166137
"2718",-58642.1767701491,-58582.9466907488,-58526.0932303142,-58469.8771905582,-58422.9448652204
"2719",-59022.3576932732,-58968.8753196739,-58911.2752323299,-58861.7744771024,-58819.1582849642
"2720",-59440.6543592291,-59381.8360901257,-59320.7853946896,-59255.8557618853,-59188.9980334604
"2721",-59356.9335837556,-59314.102129518,-59263.6138414813,-59207.6419008587,-59140.0803398562
"2722",-58864.483681117,-58824.5436528962,-58788.223717679,-58729.9310342587,-58672.1001264378
"2723",-59512.9786504046,-59495.4976917566,-59459.7858802733,-59412.6466607056,-59357.4453712041
"2724",-60129.5787816703,-60080.9675431645,-60014.1601005663,-59955.3286348883,-59894.2519012186
"2725",-59391.2930056323,-59322.8069393984,-59269.1445752678,-59218.8881538037,-59157.3621027752
"2726",-58882.4103881914,-58828.3634897571,-58784.1415852771,-58721.5849735045,-58661.9667514678
"2727",-58490.8765895532,-58437.9649021502,-58408.323679966,-58381.1368129407,-58323.9724379676
"2728",-57948.0429740806,-57921.2790156254,-57898.8057060705,-57855.1274220772,-57801.681818196
"2729",-58069.3969175468,-58014.0029018456,-57972.5479862797,-57930.5931586899,-57873.9417428977
"2730",-58095.8822919164,-58069.5773644206,-58018.8006743162,-57971.2297230699,-57920.8045498423
"2731",-58322.9998627301,-58284.4757317777,-58238.1822830711,-58174.1673011826,-58110.3983059025
"2732",-58039.7305170192,-57992.7636644939,-57952.2909371776,-57890.5154042758,-57850.6705004123
"2733",-58751.6196781824,-58738.1905291454,-58679.3548557914,-58621.481611199,-58574.9651171021
"2734",-58542.8750161443,-58500.7141663747,-58474.7948164491,-58417.4730210877,-58361.0481637167
"2735",-58278.3768701058,-58254.3603354122,-58225.8669129001,-58175.4161625542,-58124.036226391
"2736",-57844.1911574256,-57793.0532685931,-57777.3016265734,-57719.9074426684,-57656.5671272825
"2737",-57159.2290380541,-57120.05894491,-57083.8418417689,-57042.0685985794,-56983.9188471799
"2738",-56826.0426138408,-56777.2677803428,-56713.7089538811,-56665.6953920807,-56611.7572973087
"2739",-57692.0699563504,-57648.595227359,-57590.4478661457,-57530.5619489688,-57478.2687534998
"2740",-56836.5268241687,-56783.0108948759,-56886.2187743327,-56900.7060970865,-56837.0714387082
"2741",-57183.2404843682,-57149.9827695767,-57130.6057212188,-57072.6651674869,-57019.7281844546
"2742",-56248.3392974185,-56210.5075683599,-56156.0974764822,-56089.5958126505,-56037.1139629685
"2743",-56508.6772327892,-56471.2180647638,-56435.0357994242,-56381.6525019335,-56326.3763050237
"2744",-56096.0958871661,-56071.6353163777,-56029.1639621967,-55972.3593113751,-55923.2261868836
"2745",-55818.5741652515,-55778.4162907901,-55723.5565762553,-55659.6201221126,-55614.5019894863
"2746",-55586.8878147345,-55526.7691516481,-55488.2180092586,-55453.2328414055,-55405.5683468234
"2747",-55480.6578388846,-55427.6146594768,-55388.6522921707,-55331.5228179433,-55282.5899302709
"2748",-55533.5209092396,-55507.8057051135,-55462.5318862967,-55413.0794373415,-55359.570399057
"2749",-55674.772927366,-55614.3074289128,-55572.3949438038,-55523.1415158292,-55469.1674205358
"2750",-55220.9315671016,-55173.6361899726,-55124.2335796455,-55076.5549799711,-55024.6972634735
"2751",-54693.8913172997,-54643.9860858088,-54589.1375323606,-54533.7305490524,-54495.3929270997
"2752",-54104.8352936448,-54076.5112728492,-54045.4844509035,-53996.0154911163,-53962.3327150093
"2753",-53978.5915676357,-53951.8787745318,-53898.3312124594,-53849.2604584441,-53802.0210712206
"2754",-53661.4872262631,-53618.6955214762,-53578.1809800893,-53542.7240664202,-53499.7923918318
"2755",-53276.6013735331,-53237.6470957875,-53181.7526415648,-53162.7378196491,-53130.0577988246
"2756",-53567.9292168153,-53517.0201960581,-53462.0644206301,-53422.7626512622,-53372.8387576346
"2757",-48359.4409364237,-48325.1007193745,-48290.0754076149,-48241.7099213934,-48195.8020936922
"2758",-53423.8245401319,-53378.5657397023,-53327.3547221817,-53286.4508329062,-53251.1747770624
"2759",-51237.8249804411,-51343.115553141,-51288.2958053445,-51242.7897084876,-51207.8468234167
"2760",-54420.9087422209,-54371.2022469467,-54314.0582224102,-54258.899837087,-54220.2743069476
"2761",-53043.632973851,-53004.1392391474,-52953.5431268179,-52902.0770047633,-52855.8372469527
"2762",-54156.8957417711,-54098.6690807496,-54047.9174490916,-54032.4067787272,-53971.0423828693
"2763",-53844.3603783057,-53827.7371644814,-53784.9282574073,-53726.6984222725,-53694.5378312957
"2764",-55210.6343018691,-55157.0674442102,-55118.5859040392,-55060.2268469741,-55006.390759092
"2765",-54796.9447941906,-54746.4580482082,-54709.6363458517,-54680.223176596,-54623.8157327978
"2766",-55430.6509864633,-55382.8324374442,-55326.5446265477,-55309.2604481263,-55260.6213525897
"2767",-55272.8800364992,-55255.8629320158,-55236.7788335036,-55256.087316834,-55202.8943169621
"2768",-55896.3255315952,-55852.6631671236,-55791.3443099437,-55735.8080488749,-55686.3773807423
"2769",-55980.72055608,-55924.9061542285,-55899.785799511,-55841.8993812086,-55786.4530836467
"2770",-56543.3648456909,-56493.433582563,-56482.3023661177,-56416.1930312129,-56364.7977955994
"2771",-56854.3234335903,-56817.2056487301,-56755.2107732915,-56707.1930164963,-56652.3115063047
"2772",-56946.9486155231,-56924.4364721134,-56895.3511700245,-56833.1647856182,-56782.6373216259
"2773",-56938.0300582624,-56928.4406097217,-56875.3387958048,-56823.1558390166,-56769.36615762
"2774",-57525.3336822813,-57500.2166000877,-57441.6147344929,-57415.6965840715,-57366.7464999718
"2775",-56032.8476599796,-56013.5246556903,-55959.4034582152,-55907.3538765152,-55914.4073303121
"2776",-57511.2170119263,-57456.3907827477,-57394.5769904036,-57331.5556295519,-57283.1401969544
"2777",-57420.33249432,-57360.5918276582,-57309.5013649653,-57248.4156280587,-57199.4530155125
"2778",-58157.1593655139,-58116.9604940041,-58057.6653648105,-58001.1887791566,-57957.2218431117
"2779",-58164.6220110771,-58152.2737884294,-58091.4464349328,-58043.5556763922,-57990.4773251932
"2780",-58601.7834622535,-58547.001454649,-58490.314140203,-58430.0451252181,-58364.4000729428
"2781",-58042.6260396223,-58021.0687345752,-57975.1743707331,-57919.4436359414,-57885.2678846343
"2782",-58979.4692338872,-58943.8532577622,-58916.8043246638,-58898.1767159478,-58852.1335756498
"2783",-57992.0801682945,-57941.6704654546,-57909.1225309041,-57864.4364542001,-57806.1484111638
"2784",-58692.2456098664,-58650.4852138087,-58585.8166739684,-58523.2018548526,-58460.315269702
"2785",-59120.6919449977,-59085.3546909279,-59029.6649971365,-58970.0657665242,-58922.8896321776
"2786",-59107.7248172739,-59071.0136102904,-59026.8524672474,-58967.5138553116,-58908.0453017381
"2787",-58938.1389918708,-58907.257345985,-58851.2083302945,-58792.7289348214,-58731.6632271686
"2788",-59269.116167639,-59217.2657994463,-59159.1661265044,-59099.4855839107,-59042.4089039007
"2789",-59052.2250546435,-59011.7737186637,-58974.4507057746,-58919.9327907712,-58895.0882208545
"2790",-59700.1665648877,-59673.9123354406,-59618.8912554685,-59553.8820784708,-59501.1093121637
"2791",-59172.3043786856,-59126.0745865347,-59077.6069160401,-59028.9956774478,-58984.1731947019
"2792",-59431.2560455561,-59378.4280331917,-59323.7889331845,-59263.6331251636,-59199.5509668895
"2793",-58585.6963865531,-58539.9415027935,-58493.0556523141,-58434.1006155413,-58385.2085290167
"2794",-58844.2037628852,-58789.1318358998,-58733.3987628026,-58697.4303679887,-58647.869249234
"2795",-59451.0421443008,-59390.0863857282,-59339.3261823464,-59279.6437440752,-59218.4482761545
"2796",-59203.9151727788,-59145.5001023485,-59092.4495399425,-59035.6250259203,-58971.8479319635
"2797",-58589.5630260498,-58533.7051357988,-58492.7604331668,-58433.033835256,-58386.5805704416
"2798",-58754.448737867,-58740.7149900723,-58782.9159214453,-58737.7513532798,-58707.1889555149
"2799",-59741.4689387881,-59681.8998378158,-59630.3513976901,-59568.1509523312,-59529.6170452115
"2800",-58887.6547268874,-58845.549550326,-58784.0147224768,-58733.7930931535,-58688.8356201099
