"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"29",-38938.1242556893,-38947.605178197,-37959.1241526114,-36332.1801084462,-37079.8680963413,-37905.7992449506,-37558.573416234,-38621.3681233906,-37897.2504539158,-38494.9503639396,-37670.3741883793
"30",-28310.6490995304,-28458.7224343128,-27697.4290800938,-29243.0066123709,-27583.5670363189,-28507.4380967068,-28915.1531413948,-28138.7020354816,-29189.8185638804,-28485.657488492,-27118.9364573512
"31",-35820.949443554,-35005.7758141394,-34180.8221646045,-33213.8333441018,-33887.0544107572,-35310.7342600881,-35504.5238960024,-35793.605976615,-34985.9996630111,-35285.8061515191,-34001.8663316049
"32",-22987.3604242898,-23188.929493118,-22707.1671219977,-22140.3780044605,-21844.6177091526,-22977.2997137197,-23204.205912854,-22207.8650615938,-22286.7119291853,-21712.7388554737,-21496.8194414753
"33",-20843.1925101334,-20272.1367075018,-19494.3257864303,-18326.9905283801,-18806.7118264964,-19342.1389540392,-19366.3175995598,-19143.1806152383,-19377.7418648662,-18545.5999034683,-17486.5758046184
"34",-26021.8051090932,-26121.8670652115,-26261.8498042683,-25895.4287390569,-27144.8269824785,-27206.9650269847,-24751.8333811775,-24929.7008903339,-25323.592012416,-25354.9896638537,-24636.1339683391
"35",-32613.4997011804,-32493.8223793613,-31910.200200995,-31967.52719944,-32002.6740699403,-31276.975309058,-30809.5154112889,-30188.2315466353,-28592.6127220148,-28940.5976643689,-27156.3274351759
"36",-23570.5350331689,-22469.8046871468,-23942.8629287246,-24107.6120641482,-24472.5589768606,-24264.7336464051,-23387.1412516166,-24310.2174826422,-24838.0346551489,-23152.0781587358,-22982.5209759811
"37",-29024.3520374552,-29375.3088305635,-28976.4336253323,-30370.3523440549,-30459.1202075763,-29939.8865937207,-28581.4896504192,-27777.4108520737,-28305.731697981,-27874.4544469814,-29183.0512239401
"38",-24381.3123681849,-23931.2556817709,-24070.8908056663,-23342.7423587185,-23262.2901073505,-25377.9012222747,-23384.7052946682,-22570.7165326178,-22934.3991782857,-22923.7179837201,-24624.0152561318
"39",-22609.2468652738,-21449.6006334642,-22064.1787530034,-22229.6461707729,-22345.6149812744,-22035.015369287,-21726.3370547081,-21861.7452757932,-21484.4364027448,-21840.9123592499,-24561.5539433791
"40",-31918.455936368,-32787.678332038,-32213.5380577009,-33181.3713302304,-34920.3299740004,-33407.0560509148,-34362.7576985562,-34643.0141661696,-33534.4739202444,-33849.4220704141,-34331.2086853243
"41",-37051.188018241,-36779.9011079481,-37813.5968598028,-38135.8727970512,-37943.1053732721,-38214.2957858754,-36993.9235647482,-38381.5114298159,-37574.927174472,-37676.4532313997,-37196.7275743594
"42",-32072.8191416026,-30484.5507722889,-32063.5980218653,-32342.8483622542,-30189.1081514915,-30811.8348938725,-32177.422945597,-30478.7258265708,-31887.8871936105,-31250.2789599398,-31597.9480091585
"43",-31772.789469427,-32088.6356842975,-31412.7424896512,-30893.9151760997,-30600.5335985463,-29866.4514337641,-30494.4048879641,-29552.1807145117,-29519.5264317368,-30755.3534858249,-30160.328089459
"44",-17114.442546009,-17898.8685410471,-17958.2754146589,-16619.6285967552,-16168.3085380268,-15779.1356580856,-16115.340220823,-17956.084766397,-14942.8564089021,-16752.6247091992,-15150.5470263249
"45",-19104.4003906302,-18531.330058103,-18737.1888213097,-18765.4547916198,-17455.2389643485,-16633.8852714306,-18407.5576964225,-16797.796438003,-16078.3912897727,-16811.8749121058,-16770.4541199981
"46",-18573.7704143293,-19042.5179531259,-19962.7672853776,-18082.7147551855,-18139.3036154023,-16987.8873451173,-17869.3840560278,-17239.8991414199,-18391.6025786253,-16561.6774655446,-18248.2787113325
"47",-28546.852174871,-28541.1776989837,-29459.4077214122,-29091.4046891084,-29902.2306842258,-30662.665811683,-30314.9610809657,-29120.3904497394,-29338.4715411408,-29486.7356729546,-29096.1378671592
"48",-26805.6538454566,-27715.5022039838,-27606.7338539711,-27783.5709849854,-29208.5417531925,-27342.1987242247,-28200.2591820178,-28969.4662713244,-27573.0087009622,-28502.6083238473,-28950.2781459233
