"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"19",20752.2365050143,19956.9797499207,19587.3915442874,18673.4796218029,18413.9862404854,18402.7064536116,18812.746174911,19300.1937847201,20216.7132221122,20947.3055836658,21618.194117166
"20",17511.00756668,17918.8415647902,19467.247024943,19165.2154855351,19670.8249690962,21763.0342625779,21493.2618875167,20504.6885659108,18973.1425372784,18594.3088909513,17884.549349473
"21",16307.9617223741,17373.6377881559,17029.2218603437,16091.8633457285,16457.556278658,16756.3073271223,16155.4739809488,15834.7370733908,15909.3390625336,16802.7348338769,18371.8380805503
"22",14272.8545402997,13641.0283019525,13140.7902976833,13235.0602298616,13612.7580454717,13227.5475392886,12946.3820461845,13088.4566773606,13442.0235701436,13603.3514270627,13664.2926973373
"23",18493.8360634712,18296.776262903,17949.6016005642,16790.6079862999,16429.9595188086,16789.50797632,17371.8591874259,15926.9598173117,15700.1838842612,15890.8209982216,16515.7620607688
"24",19787.6223582418,19554.9949911139,19513.8583346988,18977.0970155598,18356.1905820453,18461.59397061,19443.6115084435,18527.2005573025,18364.8491366806,18342.0037748357,19149.2503722704
"25",21461.8451705205,21517.1579689278,20896.2794453148,21071.5959608335,20622.0801043314,21066.2576047755,20439.1146164064,20136.410217705,20161.1517242311,19990.734359654,20421.3398353507
"26",23118.4540881198,23585.7217610624,23286.2588109676,24146.7011907045,23851.3712664318,22172.9127072797,22798.0462142562,24002.364822839,23181.3195898622,24713.2290067904,24263.024342038
"27",20789.6114594864,20137.4104234007,19882.9494590612,20638.8477014165,21278.9101253901,21591.6717677273,20579.4619051895,20914.7275995268,20286.0738958967,20231.694672777,20534.2142594776
"28",19607.7354738311,19522.0910700398,18758.5848241646,19263.5628177568,18921.2810718097,19393.8152209253,21150.0185304555,21881.8603173445,22474.5041927012,22927.4413096655,23818.5657662
"29",22500.9108143804,22049.5138537799,22023.145185634,20680.8002758126,20312.7315108689,19527.777844376,18776.9868586571,18441.3870306787,18740.9270304115,19810.9153325073,20785.9290504301
"30",20601.9723938772,19899.8251231901,20043.8385618843,20329.0550210682,20842.5295341304,21905.6621970088,22671.4496424087,22987.1370965759,21308.4275148876,20839.1661818871,20977.4237120826
"31",16983.3130659713,17508.4740686337,17689.5203495588,18122.068978186,18983.5127346165,18261.040500997,17012.2031105261,16741.2733894505,16047.7889091077,16114.7849478157,16941.824577748
"32",18922.4529679692,18961.6559565999,19192.2632561059,19140.207985387,18703.8364653178,18234.3678212696,16627.8163106737,16461.820114248,16863.5528448045,16948.9502074249,16827.6580093279
"33",15758.8974596135,15914.4620381158,15522.0566207092,15778.6467872232,15335.2366321792,14912.5777338215,14751.5477926334,14059.7705142848,15305.3919551433,16787.148444308,16904.0367943611
"34",14673.9736744459,14616.6271092939,14026.7241094704,13946.7778817907,14170.5553614357,13201.6041842794,12980.7183478894,13482.0181538087,13995.3603439507,13825.6963416605,14041.2146953888
"35",18606.8887505886,18035.5646945984,17994.8077521516,18294.2553470946,17976.3393539681,17329.2506011319,16496.8967941501,16608.5856459942,17346.332631784,16756.9648144639,17129.9091000904
"36",20940.8983512225,20698.9672228491,21043.2560398348,21820.6876331893,21727.5444023313,22277.6106616821,20508.586015185,20261.4751841652,19754.2122619006,19250.6408842579,19238.3863519857
"37",20020.4135556206,20113.0522309347,20653.8686813842,19491.2368449165,19712.9474886222,19907.0375801798,18891.568798675,19042.3794051264,19508.4665101794,19877.1076550957,20246.2430844265
"38",23225.2321438769,23910.5293367393,24736.0937675064,27380.9522391124,27478.0505392593,26083.5037406774,25165.1737319865,23805.9157589831,22839.3743381968,23313.3499694805,23035.2239500907
"39",23012.3581713616,23338.4123364169,22924.7416180013,24711.2080208161,23078.4230772545,23570.5082151864,23420.8840112129,21628.5240642144,21653.8937875219,21816.7198181664,21428.1470198898
"40",23512.1916871303,22930.8764428237,22380.2497096511,23315.6016032815,23063.3291007949,25003.6204774199,23694.5875257676,24171.2994784716,24639.1685261769,23852.5211830474,22384.4657205103
"41",17095.4430567361,17634.8968053602,19235.8699183577,18357.6738399647,17160.2181121899,16074.1442735199,15674.9580840938,15642.1109686155,16437.0538132198,17281.9607474491,18110.0777732901
"42",18735.64839187,17467.8927628424,17187.0798521496,17490.8838049135,19736.1495608896,22930.8725387562,21893.7555844523,21877.6717139189,20642.2527073359,19740.2325654519,18205.5811108294
"43",18458.9292230814,16235.3182857501,16604.6029989397,17526.4981911199,17120.8520080622,16469.237543629,17247.4190638286,18451.557891719,18768.1159874065,20428.8327275916,20210.3743874644
"44",18734.7840071901,18802.0694024334,17963.1838875233,18222.0426709254,20604.354141556,20171.0459553302,16069.5557322087,16786.2312513008,16931.4283060848,16763.2944137889,16974.9986711871
"45",16722.095940537,17156.9850122377,15539.742430865,14766.413999667,15821.0556705736,15111.0103454128,14014.0162643854,14876.9697438387,14981.6884406216,15246.3622212046,14637.3845514319
"46",14604.6678894795,15466.731459505,14313.6628943529,13955.7004798609,14689.8516662862,13957.1201567322,14075.716704931,16416.877260574,16152.1631729577,15944.1779931581,18151.708989757
"47",15507.2879285897,15795.3263638639,14448.4969136211,13036.3324515857,13189.0610631361,13568.3173439707,13433.6645933476,13306.8186128033,14163.2941054053,13658.3592870166,13966.8516712532
"48",18988.8589253947,18175.5448612932,17921.3208180217,17329.1147862038,17161.5053037949,17232.8942989038,17392.0240489456,16855.5533710794,16990.2124619778,17187.3128082031,16953.7388041867
"49",19012.0899649096,19580.6201807196,18809.7641292361,19572.9330979945,18798.9635511091,18506.6731777766,18272.0588104176,18884.0272794632,19509.5615213491,18006.887004582,18037.621570429
"50",25159.0737846853,26802.0983055364,27067.4974898396,25789.7930401513,25596.5462415543,24037.7768402953,24025.8730154467,23950.2443784021,23994.9272645501,24251.8526329021,24565.7582663865
"51",24283.7209103321,24257.5746305359,24156.9832686712,23547.827420223,23464.3664544443,22743.5993048422,22702.2901576747,22777.8405139663,24805.5363042071,22119.1701482134,22959.2387096724
"52",20299.5751617647,20995.4108616321,21055.123772537,21446.0463627695,22688.8417753005,22259.9709641462,20760.5381692919,19965.2649972669,20600.2562586823,21664.0388766709,22386.4714494833
"53",20830.9871050798,21416.9490777213,21099.7975466946,20982.5008376717,21903.1259969805,20985.9157789734,22595.8671337502,23389.5778690512,22114.0959494439,21881.739512778,23234.141081655
"54",25927.1539255938,24208.5807495985,22855.0213214523,20727.90534061,20660.9328146349,20809.0660557294,22641.4459474189,24669.3707124576,23492.5737003258,22991.0172735866,22305.3971925731
"55",18406.1890889793,16561.3340295855,17421.7340149076,19005.8685979731,19759.0203307078,19883.7234988991,19697.8038850835,19257.4995137693,19122.2166650384,19623.1228693953,19409.2766817025
"56",16191.5418648512,14566.180055362,14941.1204004318,15682.8608845348,15332.9072322258,15664.5701174258,14956.6193306308,14012.5362340747,14899.8505138243,15597.9704030936,15957.1614264768
"57",15824.7923560216,15084.80527217,14716.2933815363,14419.8412041388,13668.2074336773,13753.9815043862,15369.3698516279,15616.605609807,15607.1264905288,15045.2887287515,13761.2900846893
"58",14409.3069067594,13836.5340496426,13476.6382739898,13429.7306851824,13209.0079189333,13446.5810716223,13189.1640332142,12681.4801421056,13003.5885620048,13378.4645761748,13534.9105105726
