"","V1","V2","V3","V4","V5"
"result.34",-3903.24489358768,1360.26018242241,2965.90958251468,4553.3183977812,5831.95576285098
"result.35",-3328.34021781003,-361.106169086477,780.388153666667,1897.58105044386,2960.38759252914
"result.36",5334.08030199359,6349.86200315833,7147.59780970586,8034.18691181618,8887.86952767461
"result.37",-4123.65302433823,-1478.88254145606,495.746831934075,2215.55938617632,4012.32075431773
"result.38",-2429.24642447665,306.383882869752,2163.85680989182,3530.64065291302,4696.83075460388
"result.39",-1053.61904910841,196.569153264527,1553.07062052747,2701.51053999422,3662.49169797747
"result.40",888.055463750205,3589.21855500565,4704.92970930554,5628.63050456913,6533.341253409
"result.41",-1448.60031365864,4211.71571060543,6179.20188148083,7271.16220503656,8015.50756208257
"result.42",2890.9919377869,3982.64974414213,4795.99512040993,5810.43900194674,6646.60996369074
"result.43",-5210.83919777694,-1772.11567260999,181.438040942825,1910.99427097815,3415.14687457732
"result.44",673.437256113448,2953.00066486135,4439.60058365528,5654.23437600982,6860.56979404531
"result.45",3775.52886514738,6718.17175248949,7473.20769061249,8420.72459768445,9372.93400461383
"result.46",2356.77353705411,3760.67666484371,4620.79891189616,5677.60571175748,6914.38439134254
"result.47",3670.67168897044,4791.13018458451,5900.14007628873,7137.76523473447,8335.97042923305
"result.48",-10085.9993271323,-2672.88360673912,288.125070432094,1975.82277968397,3587.13598493328
"result.49",-338.270275791412,5380.97728293827,6502.13596956592,7241.68922985114,8100.69356623255
"result.50",-1950.02544763413,4389.80665622545,6940.72562334431,7855.58718503777,8687.8834436962
"result.51",372.21766388624,5612.29051071776,6861.1993523131,7627.01738566185,8469.47058068495
"result.52",1323.06975686142,3380.56509120704,4586.32418277949,5744.0296139939,6685.89668382721
"result.53",4021.57337603078,5300.09097867487,6387.77299733859,7334.02580165202,8321.21656185395
"result.54",-2666.1766777208,2039.81118577314,3805.86368037723,5185.78598259114,5691.76647073095
"result.55",290.489845342252,1879.84323509277,3281.27148081107,4633.43687943462,5683.51260770756
"result.56",789.204072046772,4301.82137295491,5733.04788813603,6862.70650812755,7777.80888148441
