"","V1"
"167",-0.00160389692498963
"168",-0.00166444872631821
"169",-0.00175361314591682
"170",-0.00175797532293454
"171",-0.00175099615921337
"172",-0.00175533224178548
"173",-0.00175414280406716
"174",-0.00184078161652268
"175",-0.00190784829427171
"176",-0.00208772404891733
"177",-0.00218110306289188
"178",-0.00246340707965964
"179",-0.00246267494789587
"180",-0.00267666383028231
"181",-0.00284211351988917
"182",-0.00286762430552712
"183",-0.0029677429596755
"184",-0.00321073268996885
"185",-0.00338033862257203
"186",-0.00364761663935986
"187",-0.00370169958217836
"188",-0.0039476221371687
"189",-0.00413688998896689
"190",-0.00414379338810378
"191",-0.0041662501603873
"192",-0.00414760372671674
"193",-0.00417219865056306
"194",-0.00416023995641368
"195",-0.00415005985813699
"196",-0.00415028921952354
"197",-0.0041351519565902
"198",-0.00413685802397956
"199",-0.00414117834677585
"200",-0.00415529901179035
"201",-0.00414966896071789
"202",-0.00412692911734991
"203",-0.00414465977443401
"204",-0.0041393621949869
"205",-0.00410160853021069
"206",-0.00409681595858735
"207",-0.00412759751357727
"208",-0.00414228178665887
"209",-0.00413399746755927
"210",-0.00414446996994799
"211",-0.00412603377138543
"212",-0.00412296091862874
"213",-0.00409674050728759
"214",-0.00409873536024052
"215",-0.00409438487146796
"216",-0.00405604772313228
"217",-0.00405275691623053
"218",-0.00404297096581452
"219",-0.00406072784962441
"220",-0.00407723397564053
"221",-0.0040696248406662
"222",-0.00406431517746841
"223",-0.00407467716074217
"224",-0.00410438018122605
"225",-0.00410589175137444
"226",-0.00411958515241972
"227",-0.00411368305300619
"228",-0.00411959414939578
"229",-0.00410798427034231
"230",-0.00412401443921939
"231",-0.00411537898155689
"232",-0.00408864182252755
"233",-0.0041037358495708
"234",-0.00410292454163208
"235",-0.00408585631898162
"236",-0.00408693880980193
"237",-0.00408906384990315
"238",-0.00409906841550856
"239",-0.00407938535164043
"240",-0.00409841913769893
"241",-0.00407353403041077
"242",-0.00408011343349091
"243",-0.00406499914442626
"244",-0.00408280819862894
"245",-0.00408447962434388
"246",-0.00409850548322921
"247",-0.00410167744074608
"248",-0.00411361405351673
"249",-0.00410408224742098
"250",-0.00415674758384499
"251",-0.00416280968630378
"252",-0.00415498358155564
"253",-0.00414946959484708
"254",-0.00415733770470206
"255",-0.00416613679996358
"256",-0.00417799301661759
"257",-0.00415218587256105
"258",-0.00414219556777584
"259",-0.00414339697632027
"260",-0.00406295123511169
"261",-0.00407360530415901
"262",-0.00411696552556251
"263",-0.00412874925460072
"264",-0.00411775108423573
"265",-0.00411183392401759
"266",-0.00414372465309643
"267",-0.00413732876719586
"268",-0.00413851709729995
"269",-0.00413268703865299
"270",-0.00409886481807653
"271",-0.00411262937462387
"272",-0.00411264374744669
"273",-0.00408260667487059
"274",-0.00407794663377681
"275",-0.00409390211340177
"276",-0.00408413808224728
"277",-0.00409656131266067
"278",-0.00405251743534907
"279",-0.00405518045512288
"280",-0.00412662681906661
"281",-0.00408776340555961
"282",-0.00413279741423977
"283",-0.00413783325282469
"284",-0.00412817773782459
"285",-0.00411252089961656
"286",-0.00410630311505544
"287",-0.00410168673660416
"288",-0.00411218577751127
"289",0.0299467477142957
"290",0.0240568927136668
"291",0.0253774170238498
"292",0.0223504244948055
"293",0.0198740004417473
"294",0.0194889438562018
"295",0.0176054083859913
"296",0.0171626932296254
"297",0.0162754956162869
"298",0.0150441326732825
"299",0.0154705968430667
"300",0.0128900312342864
"301",0.0113238559275388
"302",0.0113963587153277
"303",0.0138773751017444
"304",0.0175798319848085
"305",0.0204860830867918
"306",0.0261362607143891
"307",0.0287592235658011
"308",0.0291556276591998
"309",0.0325262161574674
"310",0.0335854123042617
"311",0.0321705648396718
"312",0.0307209381236938
"313",0.0327251035518095
"314",0.0380270266851627
"315",0.0399026188753886
"316",0.039885940657268
"317",0.0403201762001385
"318",0.0382783082064817
"319",0.0385979319082359
"320",0.0371557524757485
"321",0.0385661451487548
"322",0.0378626947500071
"323",0.0368529982360776
"324",0.0373079715294856
"325",0.036737683847238
"326",0.0351089762340826
"327",0.0338347144064998
"328",0.034317162065894
"329",0.0376356949814723
"330",0.0397613902614721
"331",0.0389600803975958
"332",0.0425206734835322
"333",0.0401705374819581
"334",0.0374454710810732
"335",0.0331592785315503
"336",0.0324762515284686
"337",0.0298973464291649
"338",0.0343019696357038
"339",0.0379543009633153
"340",0.0382804190153186
"341",0.0414072871973594
"342",0.0429129067513384
"343",0.0408442707624741
"344",0.0432215311540665
"345",0.0444556283699732
"346",0.0467895421932689
"347",0.0486768660270902
"348",0.0513667234563566
"349",0.0535235811260877
"350",0.0545542722962516
"351",0.0532148827439977
"352",0.0493744798122492
"353",0.0497305810619159
"354",0.0494945408353185
"355",0.0495613296999565
"356",0.0460934166406147
"357",0.0444370983009442
"358",0.0449617233528629
"359",0.0416943200241502
"360",0.0432968593355401
"361",0.0428682712731026
"362",0.0397122509003729
"363",0.0393636085543897
"364",0.0429868815981627
