"","","","","",""
"52",40925.7010732484,38662.4584635164,38358.685028069,38239.0517668205,38229.6801518954
"53",-6732.9817533171,-8150.53388848464,-8149.94565088996,-8139.85165283166,-8133.06404579593
"54",-11697.5733125099,-11693.7546252142,-11675.426851747,-11664.6035003428,-11646.1105745364
"55",-19236.349521892,-19709.4979472533,-19830.2997374615,-19811.6248513495,-19793.0797964431
"56",-10737.4575838068,-12550.2829545948,-12598.200370574,-12609.5000875456,-12612.474871618
"57",-18328.2544344543,-20261.0894877133,-20775.8796970141,-20945.6511672265,-20966.9354501207
"58",1772.54739333359,-256.871807560195,-311.615362342215,-301.906785338408,-319.464186925859
"59",29924.5557244961,27995.3550304843,27846.7784434507,27828.7829121283,27772.4199052913
"60",-12004.9709167322,-13495.0252262186,-13538.1680638131,-13528.4050321003,-13513.4714532703
"61",-11622.2334754957,-15032.1088588516,-15077.7233440807,-15062.6376233351,-15044.2173140292
"62",50935.7995831094,45908.8664875119,45826.5689649956,45783.7753403802,45783.737669083
"63",2104.98087786425,-2214.30797418567,-2393.64465397578,-2401.15261059076,-2388.10243609633
"64",28550.7657070461,25216.6177489545,25198.7442561771,25210.6406822672,25211.5567010795
"65",-6112.88564907843,-6579.57521735093,-6637.59590642738,-6625.01787090453,-6614.68694418123
"66",43555.4873650629,43359.6071208306,43276.6100344319,43294.1889679104,43311.5756858281
"67",-11061.4625225538,-11368.8878081231,-11364.8761772002,-11372.3565484857,-11392.3213114264
"68",-7401.78280235432,-10926.0501956335,-10954.7401144856,-10935.3670595465,-10916.4913342839
"69",49329.1920211247,42736.5474591642,42517.7064112704,42457.2147922534,42465.843181529
"70",-11201.9833328654,-14671.4443864758,-15688.5347183476,-15689.2667216825,-15736.7432050312
"71",6357.96353538666,4044.61495362202,3735.71898664519,3735.44922496001,3681.61603976138
"72",40313.2254086376,37725.323586901,37704.0316975594,37639.4443994173,37653.9985049063
"73",-17494.1964774312,-17755.6112141101,-17770.805853639,-17752.210279195,-17738.0498761417
"74",38.7398693252085,-92.1571323689575,-130.043296473339,-120.481851739172,-101.622064152809
"75",47279.9867687648,39027.0848529723,38728.488639368,38742.0595012467,38757.3482428173
"76",18159.3315015494,15162.2466598141,14807.9017688589,14784.9108459301,14765.7109681227
"77",41233.3922713516,38895.4778834258,38586.9954676534,38496.5150779471,38494.1401251576
"78",38280.2983602715,37838.5477285843,37783.1686474519,37761.9903573432,37751.7893962408
"79",41495.9567810536,38610.4786847121,38459.4189480556,38416.2039033321,38405.6685823102
"80",-8568.64787932285,-8726.03605657568,-8827.81750822176,-8818.017468405,-8812.10020784319
"81",-9239.27384456495,-10235.3168150083,-10283.963037097,-10294.9583430039,-10286.3030156827
"82",-12652.9535412118,-14446.77066409,-14498.7652109778,-14505.8553383486,-14487.2244226604
"83",39447.9580814716,39323.5325544329,39305.7413902911,39277.609255398,39292.574017053
"84",-8615.3601015848,-9827.0879311842,-9811.15160926828,-9802.20176873413,-9788.61458790792
"85",-10321.6830417131,-10410.6710452434,-10393.6798178448,-10392.4411947996,-10386.0350792417
"86",49898.3172221639,42159.4709903042,41944.0029096131,41921.2730849463,41927.5247647595
"87",-19658.9876455463,-20019.814961871,-20008.8419052285,-20013.7071145375,-19996.72534985
"88",31656.0981613569,31597.2702659616,31614.9818944909,31585.6273997088,31603.0596106316
"89",10585.2553364299,8770.53807007647,8471.20327773664,8462.88592179615,8480.02596998708
"90",41068.3631639067,38839.6902041118,38579.1893148959,38458.9640458596,38441.7320091499
"91",49584.4700043374,40935.044094396,40581.4091765203,40581.8541153708,40598.7690832533
"92",1708.50337226873,-4773.02042517217,-4807.45976920267,-4793.58897711219,-4779.71469696664
"93",-18492.9131251759,-20590.0353392801,-20647.6246029394,-20666.9758778606,-20648.9503816848
"94",-9190.32016376788,-10027.8225992782,-10026.8749705281,-10008.2608849965,-9993.7559449711
"95",40636.0747839233,38393.458960206,38023.0425065055,37924.9434691689,37930.3917161279
"96",39116.6135964047,34481.3643785275,34498.8789354115,34391.2787710129,34396.7271755349
"97",-11291.4282934324,-13547.5096309264,-13604.3778171722,-13619.5722977057,-13612.6755245034
"98",-21694.6955073144,-22376.1862332094,-23163.6831979775,-23281.3121967491,-23292.1866890648
"99",-12349.9220634268,-13178.7883250935,-13439.3222509628,-13479.307023098,-13466.594222012
"100",-12222.9497802609,-14586.2070513752,-14587.5729488267,-14582.6360249034,-14606.6115263073
"101",-13745.5632644669,-14047.2486433544,-14129.0835521234,-14163.6495855432,-14154.9500135354
"102",-18697.2861920212,-19775.1309413759,-20124.3121678323,-20108.0157190468,-20112.8361900288
"103",40925.8917975715,38662.6106478251,38358.9046175455,38239.2476618082,38229.8355243218
"104",-11673.189788094,-13292.4175178443,-13539.9971825831,-13551.8891478628,-13550.0453007757
"105",39920.3971615051,39918.8605909999,39664.0296176968,39669.8044707286,39680.3443596587
"106",-19972.1279162697,-20640.1466899539,-20628.1809296799,-20623.3518374001,-20609.4919914741
"107",42581.6735144575,42414.6947945572,42362.1871127456,42346.4569175308,42355.8642030126
"108",17152.5969753557,16910.6431941203,16851.8141039925,16868.7839693054,16885.4115140025
"109",41588.7230391414,41335.8009877691,41328.5281610448,41302.2293501566,41275.5667130389
"110",-18330.8593037,-21637.4904494075,-21883.6824700993,-21923.4621697293,-21920.7812741034
"111",38880.145539668,38867.4827719011,38489.2265879153,38280.8922997487,38277.623803191
"112",-5309.75241121252,-8036.25742474875,-8040.06471395693,-8057.84060668755,-8039.30010472157
"113",40371.2955530019,36559.808012905,36448.7051513082,36389.2707186013,36384.282561879
"114",-10367.9964207704,-12336.6638890992,-12586.0795921394,-12573.3209690265,-12556.1196399703
"115",-9711.64666963556,-12895.3031748669,-12949.6791703459,-12932.5510339388,-12918.3637746068
"116",41053.756077927,40853.0177842152,40825.6408064396,40813.3496896613,40831.3198407995
"117",15321.963524719,13251.6163834146,12318.013605092,12070.0111111337,12085.5265622386
"118",-315.18470399726,-4064.23914479862,-4175.20642444467,-4275.0184887701,-4263.88403012584
"119",38607.0178378328,38410.1764997467,38047.3886171626,37935.1476470589,37920.2770656786
"120",23569.7964735436,23584.3542711383,23590.3718943597,23602.3637897214,23588.8657754259
"121",-13701.7661672744,-14259.6335929582,-14305.1102222871,-14291.5641464943,-14276.0434363202
"122",42333.5333821974,39923.195655379,39558.2772109556,39547.1298930315,39564.2018726617
"123",-11531.7198380649,-12020.4137701421,-12003.2075995346,-11987.7821431032,-11969.6972909978
"124",-4060.9065600105,-4417.31670614081,-4477.8373006788,-4467.36598813453,-4458.27945539939
"125",36375.9970142063,35616.7190319775,35083.9026626462,34967.6252560303,34977.8046431664
"126",-13156.9610275018,-14581.6693190329,-14673.5124915732,-14716.9737587342,-14734.3921430646
"127",42682.2944594114,41627.7434692946,41282.8754991434,41195.7742412216,41181.0543953965
"128",40663.6433441539,38079.683944666,37791.0788695938,37664.4847797647,37636.2364106004
"129",40615.7446623022,38010.3979660849,37713.9947706013,37589.1271544947,37562.4037028199
"130",50079.8376853204,41312.0435840403,40804.8617830656,40782.3111817314,40798.383759092
"131",22612.282769231,22429.1865980025,22370.806672713,22387.7287866868,22405.3813024953
"132",17507.2430606655,14051.571576308,13867.1019016222,13830.5159081906,13840.124794463
"133",14265.4418537615,11665.1216208272,11478.7788336756,11420.8885488922,11435.9007857271
