"","V1","V2","V3","V4","V5","V6","V7","V8"
"129",32747.1809680497,29681.843788058,27782.807423052,28665.5222234106,34637.4047196183,43990.2034577006,52844.6159885224,65455.5365489567
"130",30835.3061201143,25752.5909366498,24870.0142117319,27602.1878928479,34673.1963697711,42564.8868251134,52160.0693379304,65040.4753356807
"131",31707.1832328861,27028.9464577784,28318.4557624527,29479.0218512388,36701.3962521584,44823.2361995949,53249.2020804259,66572.9306074456
"132",31636.0248778643,28024.6634350983,26292.4320206633,30126.114330665,36002.6321148955,43671.4413420883,53948.7551936379,66424.0048959247
"133",31850.9574849764,29621.4637456006,27111.6218264391,32383.6534087987,37316.1996722472,45722.091272794,54742.3618063577,67172.5352634747
"134",29978.2827626517,25287.7520137881,25241.7365775763,29236.0233989822,34736.434742682,44970.7466616064,54596.2994961624,66126.2216086773
"135",31081.6086374948,24290.9103065987,24054.2785998946,26816.5377487216,32954.5738831075,41371.4841536771,51887.1516263399,64485.0151963249
"136",32149.2955585122,25968.430098921,25640.2383597295,29217.2860051688,34310.7739423265,42972.9777081253,52744.0273633649,65720.2189452617
"137",31780.4756142475,27159.9821687781,25329.3127824747,27984.8078923257,34236.7888064902,42323.8159233636,51497.7527301836,65155.0901895609
"138",29266.9435653629,25274.6520802028,25938.867869681,28854.6849199942,33240.3002235954,41666.4701517672,52222.9895600612,65048.528815382
"139",33795.2916568157,27415.7074919702,26874.7655334754,30473.0219965289,37172.0231533121,44975.8250202286,55126.1956983889,67725.1659929281
"140",32177.3258530006,27974.3979756908,28002.9359296306,29448.6281458646,35306.312329238,43877.4578882656,53741.2366797254,66718.6049693025
"141",29596.106760686,26125.7192052777,27656.5804591111,28227.7057385639,34051.830300587,43293.1336187675,53809.7534705719,66589.2610513367
"142",30222.7866133017,25645.5537826856,25766.3728372005,27697.3794868999,33562.5965513621,42201.1406549844,52881.7847964321,65907.2216758044
"143",29201.2716066915,25214.416294351,24883.3023219595,28281.4635406471,33663.8432993933,41772.9603455084,51837.0045234786,65406.8289999749
"144",28849.6547327924,26842.8918202397,27566.0564868364,29004.6658519538,35800.9950350424,42741.7401053854,52701.4432332438,65010.0496941931
