"","V1","V2","V3","V4","V5"
"result.959",-91184.158376792,-90983.5816726159,-90893.4992495404,-90739.7413878438,-90547.3711028643
"result.960",-91333.48272374,-91261.2022796153,-91171.6603281739,-91020.1753414667,-90837.0195424713
"result.961",-88206.0292102668,-88377.6475308279,-88273.4712707074,-88121.4661058978,-87901.3021744099
"result.962",-89129.2247414465,-89179.5502043997,-89035.4861277049,-88857.7079170436,-88624.4995435483
"result.963",-92419.9240302069,-92324.3606496712,-92215.3823736921,-92013.5322836456,-91800.9325929456
"result.964",-91301.138648627,-91120.0945244229,-90992.9706307355,-90806.8591798958,-90590.2031434453
"result.965",-91037.706738273,-90828.2515958977,-90745.3990680404,-90581.0746289829,-90399.3130948862
"result.966",-89904.7867781837,-89696.3540839999,-89578.7746093723,-89389.0906160548,-89176.2968170628
"result.967",-90035.2947344381,-89847.6741844365,-89784.1623232005,-89682.887710149,-89529.2706788631
"result.968",-89954.2904296902,-89822.0806817712,-89749.0631571261,-89641.201500875,-89438.3727615778
"result.969",-90051.0654313572,-89896.3547229983,-89876.4930812582,-89740.0407712426,-89548.1284034213
"result.970",-89568.1843697242,-89435.2501263585,-89504.9253414926,-89383.7547306052,-89180.1942934196
"result.971",-88513.2467835333,-88316.1852018023,-88260.8216532542,-88100.5428020383,-87924.2186048495
"result.972",-89340.8497778211,-89252.7002529104,-89202.1894253533,-89094.0151302575,-88915.9918180186
"result.973",-89907.6520415008,-89854.4395225943,-89855.1555512944,-89772.7116369723,-89593.8677161368
"result.974",-88610.7823793812,-88506.2098636289,-88426.8577938948,-88259.5752248268,-88093.7743973256
"result.975",-88426.1437918779,-88257.4597465823,-88206.2014666488,-88040.4708445416,-87877.5994539896
"result.976",-88383.0483696388,-88365.5807893764,-88488.0737970646,-88376.3355028861,-88222.8565927978
"result.977",-87555.8136809889,-87474.5284349618,-87557.9934387133,-87426.9568633218,-87248.3966516892
"result.978",-87467.9457606573,-87419.5123693009,-87452.699518587,-87364.0894116497,-87243.1513494016
"result.979",-86770.3584332038,-86682.3691662099,-86757.371543267,-86626.0555038383,-86488.2963252744
"result.980",-85704.72965542,-85615.3589317994,-85699.5909619028,-85638.7352424262,-85512.721929895
"result.981",-85374.7807510209,-85252.9329627518,-85279.3933828841,-85127.5509590451,-84956.7809173088
"result.982",-84293.2654450086,-84111.7875339532,-84174.1716549436,-84044.6777242906,-83880.1807199928
"result.983",-83211.5756697895,-83085.1604627043,-83210.1436234322,-83109.5124109538,-82991.5864701657
"result.984",-82325.5288575569,-82135.9663392754,-82130.5985636118,-81988.828225768,-81815.0093959556
"result.985",-81860.5960763321,-81712.6086359648,-81855.8713273667,-81694.7151741325,-81569.8784351752
"result.986",-81634.5956214537,-81446.6789300773,-81474.68880744,-81366.912125848,-81170.2285209694
"result.987",-81030.8359243282,-80807.5464408984,-80927.6576983157,-80795.0612387655,-80609.746929085
"result.988",-80871.4149226008,-80651.7649997122,-80813.1134229231,-80653.9777001316,-80479.2719721692
"result.989",-80070.7085478232,-79872.7228087168,-79983.9120318283,-79841.0007417097,-79753.2728734697
"result.990",-80223.4277708742,-80015.4977480877,-80203.2192284438,-80066.7561211726,-79933.3341979168
"result.991",-80427.2089898943,-80219.4575520335,-80361.7060168251,-80206.7181522768,-80086.5677759886
"result.992",-80591.6301983942,-80372.7622362019,-80481.4647190571,-80333.9000189895,-80195.1540190129
"result.993",-71689.7840535189,-71496.1505727943,-71725.8710601275,-71581.983886548,-71475.9837731364
"result.994",-80832.6628233772,-80623.0723989593,-80697.36949532,-80545.7931943368,-80389.1293857526
"result.995",-80675.3157423517,-80469.0428135937,-80575.3349308139,-80410.1563533312,-80244.5892819185
