"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"41",11355.8657562286,11859.3738867609,10991.1990023411,11954.5688556462,10365.0099109686,8436.55601638292,9459.04280063987,8655.74553534223,6507.21102811676,5231.28742467702,3104.59556486765
"42",-2587.73381439801,-2862.85968824043,-3391.21255326078,-3325.70121129913,-4566.32929657415,-6246.97394705117,-5698.41954704068,-5093.05200746415,-5135.87251237872,-5341.3120093723,-5738.40506506535
"43",-12565.1789374503,-12614.7539812307,-13350.0094275093,-14031.3417911261,-13486.3770423243,-15027.5134651493,-14672.2730690632,-14281.245546096,-12912.5982659877,-12391.7453638116,-12592.9562525002
"44",-11391.8458172079,-12382.2233974344,-11752.0888276885,-10818.5922654268,-11128.8585234577,-10860.6040646888,-10898.5893493328,-10954.6312069964,-10230.825541451,-11676.1011625494,-12044.9724465691
"45",-8188.84450575352,-9606.14174066838,-9795.64085082614,-9746.07625474533,-10111.9645406008,-9700.48118205505,-10991.2202191849,-10412.2332413649,-10457.7488366433,-10439.7704272557,-11130.5527279622
"46",-6924.70275776045,-8762.15871223692,-8954.11710920233,-8930.31814707594,-10125.0397706378,-8352.327253525,-8842.84675874533,-7376.13299739954,-8710.68750700162,-8684.26247034586,-8037.88745052471
"47",-12174.3671266166,-12100.9815367984,-12825.9965637976,-12800.7293002193,-13209.0879129959,-11986.2000475077,-12740.7064430142,-12289.0142986193,-11846.047622468,-12179.2640272161,-11863.9124432558
"48",-14058.8956348051,-14660.3304982933,-15531.9914145937,-15279.0814030394,-14523.9003606145,-15541.3174346242,-15948.7173947879,-16843.5019938636,-15358.6235518358,-16008.696491446,-16584.2468428694
"49",-14715.7336715921,-14773.5926013653,-15255.7912653068,-15042.5181307774,-14245.9831648085,-13665.4092613573,-13311.6881073521,-13105.8195489473,-12375.9002796836,-13103.6960770186,-14216.1996962344
"50",-5922.49792757007,-6172.87125225792,-7648.00307866043,-7277.3121479554,-6390.19736318134,-5929.00201679306,-5961.15487282567,-5496.50784083187,-5117.67302252794,-4456.17543014255,-4505.32249440132
"51",-2589.36364612578,-2972.93120534368,-3591.98547082509,-3171.80026970102,-4003.72881910294,-3903.95205805873,-3239.65556131466,-2960.62791573653,-3557.01607529245,-2604.8572369716,-3439.40361035291
"52",-9016.87389041235,-9374.67581411449,-10059.0809026697,-9454.10408561758,-9412.97849088963,-9625.76078381123,-9194.16360718551,-8474.48717470559,-9609.61394309386,-9186.08108725082,-9086.09073399768
"53",-3798.5672507184,-4427.03016911694,-3469.95876967888,-3538.1154762509,-4521.19705553669,-4646.02762702575,-5619.68457225308,-5086.06399152084,-5357.10897154404,-4204.26646395333,-4690.84645140257
"54",-4343.46954942311,-5471.28483918113,-5391.64414650244,-6103.73675805405,-5953.85954989907,-6316.81887989934,-6789.70555939369,-5916.98326190243,-5463.79405141412,-6301.74770954714,-6188.27516813493
"55",-6890.37614679826,-7249.10071910949,-7679.69219214185,-7983.09154888734,-8608.15847882543,-9222.95783235253,-9499.59632434545,-8699.53218479096,-8225.34320030477,-8744.29655851683,-8796.00842937663
"56",-2697.75601631916,-2038.13858582694,-1532.13209665606,-1721.08908598529,-1755.12449346335,-987.759444982366,-1778.91656757014,-971.772599826458,-587.960795402665,-1077.59639803888,-415.28757062908
"57",-4883.7099017517,-4100.6615395531,-4208.07595696139,-4751.091421624,-4964.82328701963,-4377.01754208893,-5259.4398690438,-5975.11717772725,-6366.69156069544,-6475.7743638095,-6792.03717039003
"58",-6228.34854790739,-7176.28590636866,-6662.44309459291,-7260.51930595893,-7601.35357473483,-8572.44389885954,-8584.432283743,-9239.8983644348,-8696.93763670726,-9371.91204213785,-10018.1275428161
"59",-8765.98605713645,-8960.57502869318,-8415.81064239447,-9887.51222759639,-10503.1647751586,-10969.9758530789,-11130.7517444981,-11837.4959853824,-11606.6129425553,-11432.7797391646,-12153.8115404018
"60",-12834.1095915844,-13626.4497285156,-12769.8518124524,-12201.3598564648,-13182.9555554862,-12843.6806642688,-13426.5309331773,-13165.5503662254,-12885.0799134833,-12508.9905643323,-11943.0241498432
"61",-11343.238922733,-11075.9095785062,-11500.5906141948,-12055.9923987124,-12770.0997106966,-13146.7121534834,-13264.8277544101,-13317.7291482777,-12884.6645121435,-13124.3688835923,-12472.750281711
"62",-6700.03461308529,-6547.03598001011,-6143.04605322734,-5790.08285187234,-6236.01296660392,-6397.11497573272,-6725.98827297187,-7141.11077292181,-5286.87377103802,-6362.04685604345,-5682.64134949764
"63",-6335.21437782406,-8837.49662267684,-8647.74191235755,-8068.69736676933,-8074.32458376913,-7524.52506308108,-7922.48631105645,-8393.7163698775,-8115.11592394759,-7817.41773399431,-7047.96970797204
"64",-7018.11755130618,-9345.75023561365,-8966.48990532127,-7982.53922441429,-9471.5462450183,-9355.23353623071,-9493.20019388921,-9435.26280433175,-7731.2622756047,-6603.97748412017,-6763.60981169406
"65",-139.180778376765,-423.121975968206,1005.80270965373,899.431815945929,-223.650460002165,556.359869883032,112.549761287803,361.638239761458,1012.60840290224,2077.68449358258,2389.68901927242
"66",-5493.80006128367,-5348.42548843699,-4938.09389423691,-5001.44074930945,-5962.38773975831,-6386.14840672654,-6617.54799048545,-6011.98556156042,-5823.78636759539,-5492.36190406766,-5651.23897933947
"67",-5401.73626822688,-5344.04565815253,-6032.76911685466,-5974.84747020697,-6272.89874378697,-6859.88207766661,-6114.253293957,-5940.95595004969,-5210.38454986019,-5585.64252199978,-4473.81864856927
"68",-12416.0038825917,-12949.560300937,-13544.5758976968,-13405.2411158326,-13172.1234887346,-13136.3657606876,-12594.5255495009,-12392.5604253424,-12364.7800810533,-12528.9511570896,-12086.5875547493
