"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"25",34422.4301379198,34801.4452521214,34879.5467398647,34212.4457936632,32950.2099647318,31733.5330582294,31750.6501176485,31654.760370128,31457.2386275629,31854.4738547683,31879.2257363891
"26",34339.6007745729,33275.9312712226,33817.5810569271,32322.2275217387,32542.0418096159,31467.9742475584,31434.2453973471,31185.7780727617,31029.6755531201,31203.8107309434,31167.8877112262
"27",30851.0903359698,29878.5359048659,30082.5092045021,29781.9540873809,30207.7764500319,30330.2569641202,29681.9243452421,28913.061741764,28688.6230079285,28914.6851545184,29376.0891376115
"28",32940.5951728358,32747.0639959147,33267.4938622735,32171.5904726305,32399.9848514675,32878.3410293345,32358.6192168721,31248.0460600667,30812.8250242363,31165.2718008728,31546.7677778614
"29",34850.8358695182,34700.8420395948,35305.0899913366,35543.3735975355,36106.6452750441,35530.5072282725,34638.4466882528,34582.2899791232,34034.0191905348,33962.1915466751,34451.4277991267
"30",33193.708149963,32869.2117319394,32603.7105816032,32782.9283528889,32984.564995474,32560.9079399516,31871.3495957118,31467.8442412327,31623.2317290423,31811.4111130736,31948.8813613207
"31",31765.6622311814,31207.5013227082,31909.6138173331,31834.3966167938,31452.3819607261,31151.6979732067,31828.9360866013,30949.9008280222,31024.7498206811,30935.9571641066,31452.8563627107
"32",35325.7407726548,35754.1825420563,36449.2503109727,36525.3294236755,36025.7179551908,34021.8096665714,33988.0272260497,34031.9629669709,33501.253136008,32241.1882744362,31992.8012026129
"33",32149.3929837966,31775.6313592799,31287.4071492168,31692.980734382,31594.9058838632,31619.4205736719,32158.7385344309,31734.0924359505,31819.5493779963,31300.2027351191,31359.6242381533
"34",31974.3059966765,31730.688192277,30685.6673985424,30607.2858726186,29997.952302385,30177.5687877916,30005.4909248322,29367.4866907493,29426.902438728,29225.9778541009,29599.7514512977
"35",32556.4778733638,32104.9534084048,30871.763255255,30820.797383235,30585.0290794242,29613.1100245213,29270.1411115674,28801.7561710021,28820.8108000604,28771.8854755828,28826.6094767044
"36",30251.7922868795,30006.6264968581,29226.0483008426,29213.8601549496,29638.0986735257,29396.3858768455,28980.231869898,28815.7227875848,28695.787144193,28904.8096868432,28470.1960454797
"37",33369.7693044816,33571.3608782035,33957.3369654025,33950.7986689553,33879.3305228289,33898.304780355,33636.6284658054,33421.2950820332,33897.7615112697,34871.7336045481,34233.1252171114
"38",37385.2512114393,37840.7750064244,37494.5016798459,37645.5044636225,37958.9277118292,38473.4917733441,39404.9690666442,38289.0162243781,38831.2421654986,39178.654810592,39272.8509901356
