"","V1","V2","V3","V4","V5"
"result.2285",-112765.018793838,-112904.908305692,-112950.691986027,-112849.583887551,-112524.165560917
"result.2286",-111728.466557432,-111711.938414243,-111671.071581155,-111545.909589706,-111245.612392315
"result.2287",-111826.452813046,-111904.509316004,-111950.435074349,-111867.727174101,-111540.091768699
"result.2288",-112621.734360162,-112546.322294265,-112402.733390913,-112158.526632018,-111750.530635093
"result.2289",-113287.196975703,-113338.347954212,-113324.730321256,-113207.316287924,-112909.323221885
"result.2290",-112879.428892491,-113033.757434262,-112972.719076494,-112818.690969819,-112532.940137718
"result.2291",-113237.351541466,-113365.697022106,-113312.585822913,-113160.717130775,-112861.043805424
"result.2292",-113141.463636062,-113156.751119231,-113142.431955336,-113009.388793101,-112675.398533081
"result.2293",-113669.451910742,-113632.293855849,-113540.990208295,-113338.796109232,-113028.854237938
"result.2294",-111224.417385425,-111138.935649497,-111009.02591537,-110695.915881524,-110211.830965878
"result.2295",-113085.742683505,-113085.738448511,-113031.947917701,-112786.462557159,-112410.253509705
"result.2296",-112322.285303737,-112347.200118672,-112283.541433242,-112104.901074377,-111751.065600679
"result.2297",-112597.617069189,-112672.364156718,-112655.596291951,-112520.162693846,-112256.264989963
"result.2298",-112084.489482741,-112155.83440983,-112135.238769131,-111998.971320119,-111684.266663677
"result.2299",-111539.988106176,-111683.367330008,-111713.550523311,-111621.572357395,-111333.768391564
"result.2300",-111276.761746307,-111559.989856151,-111668.170070254,-111615.566421692,-111397.424400747
"result.2301",-110456.825356385,-110523.278765384,-110567.795428049,-110481.387700722,-110174.901527212
"result.2302",-110042.362937149,-110143.177434527,-110197.772810379,-110130.014576962,-109955.999666793
"result.2303",-109261.817495846,-109326.947417789,-109321.740674619,-109206.929447993,-108972.978908086
"result.2304",-108217.763877319,-108304.280841524,-108353.436428139,-108256.65515332,-108007.139989536
"result.2305",-108029.331314521,-108088.840106811,-108068.092203007,-107944.463032498,-107684.193608717
"result.2306",-106786.248367489,-106851.554370286,-106900.05328658,-106802.751447847,-106534.009444423
"result.2307",-106139.855155365,-106150.797249254,-106194.120578032,-106135.410439602,-105934.298599291
"result.2308",-106105.289288424,-106123.570010319,-106166.359267471,-106063.570944939,-105815.592810241
"result.2309",-105772.204703811,-105776.819915068,-105820.467793892,-105728.175163144,-105496.112127772
"result.2310",-106220.948705887,-106215.610590627,-106215.169773546,-106057.468374326,-105765.707150391
"result.2311",-105314.677898015,-105376.020725903,-105469.868970862,-105383.223666891,-105155.11854968
"result.2312",-106003.089255535,-105993.972375077,-106007.662383103,-105873.085393079,-105576.571102613
